"Date","Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
"1964-01-01",10.6,NA,NA,NA
"1964-01-02",1.5,NA,NA,NA
"1964-01-03",0.5,NA,NA,NA
"1964-01-04",8.3,NA,NA,NA
"1964-01-05",5.5,NA,NA,NA
"1964-01-06",8.9,NA,NA,NA
"1964-01-07",5.5,NA,NA,NA
"1964-01-08",8.9,NA,NA,NA
"1964-01-09",13.1,NA,NA,NA
"1964-01-10",16,NA,NA,NA
"1964-01-11",26.8,NA,NA,NA
"1964-01-12",22,NA,NA,NA
"1964-01-13",49.9,NA,NA,NA
"1964-01-14",40.8,NA,NA,NA
"1964-01-15",15.9,NA,NA,NA
"1964-01-16",29.9,NA,NA,NA
"1964-01-17",60.6,NA,NA,NA
"1964-01-18",6.3,NA,NA,NA
"1964-01-19",4.3,NA,NA,NA
"1964-01-20",13.6,NA,NA,NA
"1964-01-21",22.5,NA,NA,NA
"1964-01-22",5.8,NA,NA,NA
"1964-01-23",29.3,NA,NA,NA
"1964-01-24",11,NA,NA,NA
"1964-01-25",0.4,NA,NA,NA
"1964-01-26",0.4,NA,NA,NA
"1964-01-27",19.5,NA,NA,NA
"1964-01-28",20.3,NA,NA,NA
"1964-01-29",0,NA,NA,NA
"1964-01-30",46.7,NA,NA,NA
"1964-01-31",9.2,NA,NA,NA
"1964-02-01",10.7,NA,NA,NA
"1964-02-02",6,NA,NA,NA
"1964-02-03",18.9,NA,NA,NA
"1964-02-04",3.3,NA,NA,NA
"1964-02-05",5,NA,NA,NA
"1964-02-06",4.8,NA,NA,NA
"1964-02-07",13.2,NA,NA,NA
"1964-02-08",38.6,NA,NA,NA
"1964-02-09",19.6,NA,NA,NA
"1964-02-10",9.9,NA,NA,NA
"1964-02-11",4.8,NA,NA,NA
"1964-02-12",10.4,NA,NA,NA
"1964-02-13",34.6,NA,NA,NA
"1964-02-14",0,NA,NA,NA
"1964-02-15",1.6,NA,NA,NA
"1964-02-16",4.5,NA,NA,NA
"1964-02-17",1.2,NA,NA,NA
"1964-02-18",5.4,NA,NA,NA
"1964-02-19",1.1,NA,NA,NA
"1964-02-20",7.4,NA,NA,NA
"1964-02-21",3.1,NA,NA,NA
"1964-02-22",83.6,NA,NA,NA
"1964-02-23",5.5,NA,NA,NA
"1964-02-24",2.7,NA,NA,NA
