"Date","Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
"1964-01-01",1,NA,NA,NA
"1964-01-02",0,NA,NA,NA
"1964-01-03",0,NA,NA,NA
"1964-01-04",0.6,NA,NA,NA
"1964-01-05",0,NA,NA,NA
"1964-01-06",0,NA,NA,NA
"1964-01-07",3.3,NA,NA,NA
"1964-01-08",2.9,NA,NA,NA
"1964-01-09",5.2,NA,NA,NA
"1964-01-10",9.3,NA,NA,NA
"1964-01-11",6.2,NA,NA,NA
"1964-01-12",0,NA,NA,NA
"1964-01-13",11.9,NA,NA,NA
"1964-01-14",7.5,NA,NA,NA
"1964-01-15",9.5,NA,NA,NA
"1964-01-16",6.1,NA,NA,NA
"1964-01-17",7.8,NA,NA,NA
"1964-01-18",3.3,NA,NA,NA
"1964-01-19",2.8,NA,NA,NA
"1964-01-20",37.5,NA,NA,NA
"1964-01-21",6.3,NA,NA,NA
"1964-01-22",3.3,NA,NA,NA
"1964-01-23",8,NA,NA,NA
"1964-01-24",6.4,NA,NA,NA
"1964-01-25",12,NA,NA,NA
"1964-01-26",34.6,NA,NA,NA
"1964-01-27",0,NA,NA,NA
"1964-01-28",14.2,NA,NA,NA
"1964-01-29",4,NA,NA,NA
"1964-01-30",8.5,NA,NA,NA
"1964-01-31",3.6,NA,NA,NA
"1964-02-01",3.1,NA,NA,NA
"1964-02-02",3.2,NA,NA,NA
"1964-02-03",11.7,NA,NA,NA
"1964-02-04",1.2,NA,NA,NA
"1964-02-05",3.2,NA,NA,NA
"1964-02-06",0.3,NA,NA,NA
"1964-02-07",5.4,NA,NA,NA
"1964-02-08",2.9,NA,NA,NA
"1964-02-09",4.6,NA,NA,NA
"1964-02-10",4.2,NA,NA,NA
"1964-02-11",2,NA,NA,NA
"1964-02-12",0,NA,NA,NA
"1964-02-13",4.9,NA,NA,NA
"1964-02-14",6.9,NA,NA,NA
"1964-02-15",0,NA,NA,NA
"1964-02-16",0,NA,NA,NA
"1964-02-17",0,NA,NA,NA
"1964-02-18",0.6,NA,NA,NA
"1964-02-19",0,NA,NA,NA
"1964-02-20",1.4,NA,NA,NA
"1964-02-21",9.3,NA,NA,NA
"1964-02-22",30.2,NA,NA,NA
"1964-02-23",2,NA,NA,NA
"1964-02-24",0,NA,NA,NA
"1964-02-25",3.4,NA,NA,NA
"1964-02-26",0.5,NA,NA,NA
"1964-02-27",38.7,NA,NA,NA
"1964-02-28",3.4,NA,NA,NA
"1964-02-29",5.2,NA,NA,NA
"1964-02-30",NA,NA,NA,NA
"1964-02-31",NA,NA,NA,NA
"1964-03-01",82.1,NA,NA,NA
"1964-03-02",12.7,NA,NA,NA
"1964-03-03",0,NA,NA,NA
"1964-03-04",2.6,NA,NA,NA
"1964-03-05",34.4,NA,NA,NA
"1964-03-06",0.2,NA,NA,NA
"1964-03-07",0,NA,NA,NA
"1964-03-08",2.3,NA,NA,NA
"1964-03-09",2,NA,NA,NA
"1964-03-10",8.1,NA,NA,NA
"1964-03-11",8,NA,NA,NA
"1964-03-12",0.6,NA,NA,NA
"1964-03-13",0.3,NA,NA,NA
"1964-03-14",11.1,NA,NA,NA
"1964-03-15",4,NA,NA,NA
"1964-03-16",16,NA,NA,NA
"1964-03-17",4.2,NA,NA,NA
"1964-03-18",0,NA,NA,NA
"1964-03-19",11.1,NA,NA,NA
"1964-03-20",0.7,NA,NA,NA
"1964-03-21",12.2,NA,NA,NA
"1964-03-22",0,NA,NA,NA
"1964-03-23",0,NA,NA,NA
"1964-03-24",56.8,NA,NA,NA
"1964-03-25",3.5,NA,NA,NA
"1964-03-26",1.1,NA,NA,NA
"1964-03-27",13.2,NA,NA,NA
"1964-03-28",14.3,NA,NA,NA
"1964-03-29",17.3,NA,NA,NA
"1964-03-30",15.2,NA,NA,NA
"1964-03-31",25,NA,NA,NA
"1964-04-01",39.2,NA,NA,NA
"1964-04-02",23.3,NA,NA,NA
"1964-04-03",5.8,NA,NA,NA
"1964-04-04",17.2,NA,NA,NA
"1964-04-05",22.5,NA,NA,NA
"1964-04-06",9,NA,NA,NA
"1964-04-07",7.7,NA,NA,NA
"1964-04-08",25.9,NA,NA,NA
"1964-04-09",1.2,NA,NA,NA
"1964-04-10",0.4,NA,NA,NA
"1964-04-11",19.4,NA,NA,NA
"1964-04-12",4.3,NA,NA,NA
"1964-04-13",45.4,NA,NA,NA
"1964-04-14",0.4,NA,NA,NA
"1964-04-15",0,NA,NA,NA
"1964-04-16",0.2,NA,NA,NA
"1964-04-17",4.4,NA,NA,NA
"1964-04-18",12.2,NA,NA,NA
"1964-04-19",59.5,NA,NA,NA
"1964-04-20",2.9,NA,NA,NA
"1964-04-21",24.8,NA,NA,NA
"1964-04-22",22.7,NA,NA,NA
"1964-04-23",9.7,NA,NA,NA
"1964-04-24",1.8,NA,NA,NA
"1964-04-25",1.4,NA,NA,NA
"1964-04-26",0.2,NA,NA,NA
"1964-04-27",0,NA,NA,NA
"1964-04-28",0.2,NA,NA,NA
"1964-04-29",0,NA,NA,NA
"1964-04-30",0.2,NA,NA,NA
"1964-04-31",NA,NA,NA,NA
"1964-05-01",0.1,NA,NA,NA
"1964-05-02",0,NA,NA,NA
"1964-05-03",0,NA,NA,NA
"1964-05-04",0,NA,NA,NA
"1964-05-05",0,NA,NA,NA
"1964-05-06",0,NA,NA,NA
"1964-05-07",0,NA,NA,NA
"1964-05-08",0,NA,NA,NA
"1964-05-09",0,NA,NA,NA
"1964-05-10",0,NA,NA,NA
"1964-05-11",0,NA,NA,NA
"1964-05-12",0,NA,NA,NA
"1964-05-13",0,NA,NA,NA
"1964-05-14",0,NA,NA,NA
"1964-05-15",4.2,NA,NA,NA
"1964-05-16",0,NA,NA,NA
"1964-05-17",0,NA,NA,NA
"1964-05-18",0,NA,NA,NA
"1964-05-19",0,NA,NA,NA
"1964-05-20",0,NA,NA,NA
"1964-05-21",0.1,NA,NA,NA
"1964-05-22",0,NA,NA,NA
"1964-05-23",0,NA,NA,NA
"1964-05-24",0,NA,NA,NA
"1964-05-25",0,NA,NA,NA
"1964-05-26",0,NA,NA,NA
"1964-05-27",0,NA,NA,NA
"1964-05-28",0.2,NA,NA,NA
"1964-05-29",0,NA,NA,NA
"1964-05-30",0,NA,NA,NA
"1964-05-31",0.2,NA,NA,NA
"1964-06-01",0,NA,NA,NA
"1964-06-02",0,NA,NA,NA
"1964-06-03",0,NA,NA,NA
"1964-06-04",0,NA,NA,NA
"1964-06-05",0,NA,NA,NA
"1964-06-06",1,NA,NA,NA
"1964-06-07",0,NA,NA,NA
"1964-06-08",0,NA,NA,NA
"1964-06-09",0,NA,NA,NA
"1964-06-10",0,NA,NA,NA
"1964-06-11",1,NA,NA,NA
"1964-06-12",3.1,NA,NA,NA
"1964-06-13",1.2,NA,NA,NA
"1964-06-14",1.8,NA,NA,NA
"1964-06-15",0,NA,NA,NA
"1964-06-16",0,NA,NA,NA
"1964-06-17",0.4,NA,NA,NA
"1964-06-18",0.6,NA,NA,NA
"1964-06-19",0,NA,NA,NA
"1964-06-20",0,NA,NA,NA
"1964-06-21",3.5,NA,NA,NA
"1964-06-22",0.5,NA,NA,NA
"1964-06-23",0.1,NA,NA,NA
"1964-06-24",0,NA,NA,NA
"1964-06-25",0,NA,NA,NA
"1964-06-26",0,NA,NA,NA
"1964-06-27",0.7,NA,NA,NA
"1964-06-28",0.6,NA,NA,NA
"1964-06-29",0.4,NA,NA,NA
"1964-06-30",0,NA,NA,NA
"1964-06-31",NA,NA,NA,NA
"1964-07-01",0,NA,NA,NA
"1964-07-02",0.2,NA,NA,NA
"1964-07-03",2.7,NA,NA,NA
"1964-07-04",0.6,NA,NA,NA
"1964-07-05",0,NA,NA,NA
"1964-07-06",0,NA,NA,NA
"1964-07-07",0.2,NA,NA,NA
"1964-07-08",0,NA,NA,NA
"1964-07-09",0,NA,NA,NA
"1964-07-10",0,NA,NA,NA
"1964-07-11",0,NA,NA,NA
"1964-07-12",0,NA,NA,NA
"1964-07-13",0,NA,NA,NA
"1964-07-14",0,NA,NA,NA
"1964-07-15",0,NA,NA,NA
"1964-07-16",0,NA,NA,NA
"1964-07-17",0,NA,NA,NA
"1964-07-18",0.7,NA,NA,NA
"1964-07-19",1,NA,NA,NA
"1964-07-20",0,NA,NA,NA
"1964-07-21",0,NA,NA,NA
"1964-07-22",0,NA,NA,NA
"1964-07-23",2.3,NA,NA,NA
"1964-07-24",1.9,NA,NA,NA
"1964-07-25",0,NA,NA,NA
"1964-07-26",0,NA,NA,NA
"1964-07-27",0.7,NA,NA,NA
"1964-07-28",0,NA,NA,NA
"1964-07-29",0,NA,NA,NA
"1964-07-30",0,NA,NA,NA
"1964-07-31",0,NA,NA,NA
"1964-08-01",0,NA,NA,NA
"1964-08-02",0,NA,NA,NA
"1964-08-03",0,NA,NA,NA
"1964-08-04",1.7,NA,NA,NA
"1964-08-05",0.1,NA,NA,NA
