date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
2008-09-01,0,18.5,27.4,16.8
2008-09-02,0,21.2,27.8,16.8
2008-09-03,0,20.7,26.8,16.4
2008-09-04,7.1,21.5,24.2,15.4
2008-09-05,4.3,21.1,20.4,15.4
2008-09-06,8.5,21.9,20.6,17
2008-09-07,12.2,21.5,28,17.8
2008-09-08,19.5,20,27.8,17.8
2008-09-09,14.3,18.3,26.8,13.8
2008-09-10,0,17.9,23.6,12.8
2008-09-11,0,20.3,25.2,11.8
2008-09-12,0,20.5,26.6,11.8
2008-09-13,0,19.6,28.2,17.2
2008-09-14,10.7,19.5,28.6,17.4
2008-09-15,4.2,20.5,26.2,17
2008-09-16,53.7,18.5,26.2,16.4
2008-09-17,0,18.7,29.6,16.2
2008-09-18,0,20.8,27.8,16.2
2008-09-19,0,22.1,27.6,16
2008-09-20,0,21.2,NA,16.4
2008-09-21,84.4,22.9,NA,17.2
2008-09-22,0,23.9,NA,14.4
2008-09-23,2.1,20.1,NA,14.2
2008-09-24,0,21.8,NA,14.6
2008-09-25,8.1,21.6,NA,14.2
2008-09-26,0.0,19.8,NA,16.8
2008-09-27,0.0,20.8,NA,16.2
2008-09-28,1.7,21.4,NA,15.2
2008-09-29,7.2,22.1,NA,17.8
2008-09-30,9.0,21.9,NA,NA
2008-10-01,0,20.9,27.8,16.4
2008-10-02,0,21.7,24.4,14.2
2008-10-03,0,23.1,20,12.8
2008-10-04,0,23.2,26.2,15.8
2008-10-05,14.7,21.8,26.8,11.8
2008-10-06,15.5,17.5,25,10
2008-10-07,0,21.5,26,15
2008-10-08,25.4,18.4,27.4,17.4
2008-10-09,0,21.5,28,16.8
2008-10-10,0,21.6,27.2,16.4
2008-10-11,14.3,22.8,27.4,16.4
2008-10-12,0,22.1,27.4,16.8
2008-10-13,32.3,19.4,26.8,10.2
2008-10-14,0,21.1,26.2,17.8
2008-10-15,3,21.6,25.6,16.4
2008-10-16,0,20.5,27.2,16.2
2008-10-17,5.6,20.5,25.8,14.8
2008-10-18,19.5,21.3,26.2,17
2008-10-19,9.7,21.9,24.6,17.2
2008-10-20,6.5,21.5,24.6,11.2
2008-10-21,11.2,19.5,NA,11.2
2008-10-22,5.4,19.6,NA,11.8
2008-10-23,5.6,20.2,NA,11.4
2008-10-24,4.2,20.7,NA,16.4
2008-10-25,0,20.9,NA,11.2
2008-10-26,0.0,20.7,NA,NA
2008-10-27,0.0,20.7,NA,NA
2008-10-28,8.6,18.3,NA,NA
2008-10-29,0.0,19.7,NA,NA
2008-10-30,0.0,19.7,NA,NA
2008-10-31,0.0,NA,NA,NA
2008-11-01,7.7,21.5,25.8,16.8
2008-11-02,0,19.2,23.6,16.2
2008-11-03,25.2,19.8,27.8,12.2
2008-11-04,0,19.9,25.8,12.4
2008-11-05,17.7,20.9,28.6,13.2
2008-11-06,0,21.7,25.4,14.4
2008-11-07,19.8,21.3,26.4,14.8
2008-11-08,1.5,22.7,25.2,17.6
2008-11-09,1.5,19.4,27.4,16.4
2008-11-10,31.7,21.5,29.2,14.4
2008-11-11,0,21.5,28,14.8
2008-11-12,6.1,21.3,26.6,18.2
2008-11-13,16.5,21.1,28.6,19.4
2008-11-14,31.2,20.3,23.4,16
2008-11-15,0.7,22.3,26.4,16.8
2008-11-16,0,22.6,27.2,19.4
2008-11-17,0,22.9,25.8,17.4
2008-11-18,0,21.3,27.6,18
2008-11-19,38,21.6,28,12.4
2008-11-20,0,22.2,28.4,16.2
2008-11-21,35.7,21.9,NA,13.8
2008-11-22,9.5,19.9,NA,17.8
2008-11-23,0,20,NA,17.4
2008-11-24,8.7,20.1,NA,17.8
2008-11-25,76.5,22.1,NA,14.4
2008-11-26,0.0,20.4,NA,14.6
2008-11-27,0.0,21.5,NA,NA
2008-11-28,3.6,21.9,NA,NA
2008-11-29,3.2,21.0,NA,NA
2008-11-30,8.0,21.9,NA,NA
2008-12-01,0,20.6,29.6,14.4
2008-12-02,0.6,19.9,26.6,16.6
2008-12-03,0,22.1,29.2,16.4
2008-12-04,0,21.3,26.2,16.8
2008-12-05,10.6,21.7,25.8,17
2008-12-06,0.5,21.3,29.2,14.8
2008-12-07,5.7,21.3,28.8,14.8
2008-12-08,0.6,21.8,27.2,19.4
2008-12-09,7.5,21.9,28.4,16.8
2008-12-10,0.1,20.9,25.8,18.4
2008-12-11,0.4,22.4,27.6,18.6
2008-12-12,0,20.9,26.8,18.2
2008-12-13,0,22.3,26.6,13.2
2008-12-14,0,21.3,27,17.2
2008-12-15,3.8,22.4,26.8,16.4
2008-12-16,0,22.5,24.6,15.8
2008-12-17,14.2,22.2,26.4,16.4
2008-12-18,4.4,22.7,29.6,15.8
