date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1990-01-01,0,11.7,16.4,NA
1990-01-02,0,10.9,16,NA
1990-01-03,0,10.8,15.2,NA
1990-01-04,0,11.4,15.4,NA
1990-01-05,0,10.9,16.2,NA
1990-01-06,0.1,11.3,16,NA
1990-01-07,0.5,11,15.6,NA
1990-01-08,0,10.3,14.6,NA
1990-01-09,0,11.5,16,NA
1990-01-10,0,11.3,17.6,NA
1990-01-11,0,11.9,16.6,NA
1990-01-12,1.8,11,15,NA
1990-01-13,11,9.9,15.6,NA
1990-01-14,7.6,11.1,12.6,NA
1990-01-15,5.8,11.1,12.6,NA
1990-01-16,2.3,10.7,15,NA
1990-01-17,0,9.9,15,NA
1990-01-18,1.1,10.4,16,NA
1990-01-19,0,9.9,15.2,NA
1990-01-20,0.3,10.9,15.2,NA
1990-01-21,1.9,10.6,13,NA
1990-01-22,0.6,10.2,15.4,NA
1990-01-23,1.4,9.9,15,NA
1990-01-24,0,8.9,14,NA
1990-01-25,0.6,11.3,14,NA
1990-01-26,5.9,12.5,12.4,NA
1990-01-27,7.2,10.8,10.4,NA
1990-01-28,1.8,NA,12.2,NA
1990-01-29,0.3,NA,15.0,NA
1990-01-30,0.0,NA,17.0,NA
1990-01-31,2.9,NA,13.6,NA
1990-02-01,2.7,9.7,16.2,NA
1990-02-02,7.5,11.8,12.4,NA
1990-02-03,3.1,9.6,16.8,NA
1990-02-04,0,11.9,15,NA
1990-02-05,1.6,10.9,17.2,NA
1990-02-06,0,11.9,16.2,NA
1990-02-07,0,11.9,17.6,NA
1990-02-08,0,9.7,13.6,NA
1990-02-09,0,11.4,16.2,NA
1990-02-10,0,10.9,11.8,NA
1990-02-11,1.1,10.3,14.8,NA
1990-02-12,5.3,11.3,13.6,NA
1990-02-13,0,11.5,14.8,NA
1990-02-14,1.9,10.5,16,NA
1990-02-15,0,10.1,17.4,NA
1990-02-16,0,10.1,14.4,NA
1990-02-17,1.6,9.3,15.2,NA
1990-02-18,6.9,9.7,14.6,NA
1990-02-19,1.5,11.1,14.8,NA
1990-02-20,1.5,12.2,12.6,NA
1990-02-21,0,12.1,13.6,NA
1990-02-22,0.7,10.7,15.4,NA
1990-02-23,0,NA,17.2,NA
1990-02-24,0,NA,19.8,NA
1990-02-25,0,NA,17.2,NA
1990-02-26,0.0,NA,15.4,NA
1990-02-27,0.0,NA,NA,NA
1990-02-28,0.0,NA,NA,NA
1990-03-01,3,8.8,16.2,NA
1990-03-02,0.5,8.1,11.4,NA
1990-03-03,0.5,9.4,10.6,NA
1990-03-04,0,10.7,13.6,NA
1990-03-05,0,9.7,15.2,NA
1990-03-06,2.1,10.5,13,NA
1990-03-07,10,10.4,14.2,NA
1990-03-08,8.4,9.6,14.6,NA
1990-03-09,23.6,9.9,12,NA
1990-03-10,25.7,10.3,12,NA
1990-03-11,7.7,9,12.4,NA
1990-03-12,9.8,8.3,12.6,NA
1990-03-13,3.9,10.1,11,NA
1990-03-14,30.2,10.2,12.4,NA
1990-03-15,5.4,10.6,13.2,NA
1990-03-16,3,11.3,11.6,NA
1990-03-17,4,11.5,13.6,NA
1990-03-18,0.5,11.5,13.4,NA
1990-03-19,2.4,11.7,12.6,NA
1990-03-20,3.1,11.6,15.4,NA
1990-03-21,1.1,11.7,15,NA
1990-03-22,5.7,13,16,NA
1990-03-23,3.7,13.3,17,NA
1990-03-24,1,11.8,16.4,NA
1990-03-25,0,12,15.6,NA
1990-03-26,2.0,10.4,18.6,NA
1990-03-27,1.3,NA,18.4,NA
1990-03-28,0.0,NA,18.2,NA
1990-03-29,0.0,NA,17.6,NA
1990-03-30,0.0,NA,17.6,NA
1990-03-31,0.0,NA,12.4,NA
1990-04-01,0,10.9,12.4,NA
1990-04-02,0,11,14,NA
1990-04-03,0,11.7,16,NA
1990-04-04,0,11.2,15.2,NA
1990-04-05,12.7,9,16,NA
1990-04-06,13.2,10.5,11.4,NA
1990-04-07,2.8,10,12.4,NA
1990-04-08,3.4,11.3,15.2,NA
1990-04-09,0,10.2,14.4,NA
1990-04-10,11.1,11,15.4,NA
1990-04-11,0.9,10.7,13.2,NA
1990-04-12,0,10.7,15,NA
1990-04-13,0,11.9,15.4,NA
1990-04-14,5.8,11.5,13.4,NA
1990-04-15,2.5,10.1,14,NA
1990-04-16,1.3,10.6,17,NA
1990-04-17,13.7,11.3,14.2,NA
1990-04-18,7.2,11,16.2,NA
1990-04-19,1.1,9.9,13,NA
1990-04-20,2.2,10.8,14.8,NA
1990-04-21,1.9,12.1,14.6,NA
1990-04-22,1.2,11.4,17.2,NA
1990-04-23,11.1,10.2,15.4,NA
1990-04-24,2,NA,14.2,NA
1990-04-25,15.3,NA,14.6,NA
1990-04-26,0.0,NA,14.8,NA
1990-04-27,0.3,NA,15.0,NA
