date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1990-01-01,1.9,19.4,24.2,15.8
1990-01-02,2,18.4,23.8,15.8
1990-01-03,48.6,19.2,24.6,16.4
1990-01-04,1.1,19.3,24,15
1990-01-05,0,19,23.4,15.4
1990-01-06,7.8,18.5,23.4,15.6
1990-01-07,4.2,19.7,23.4,15.8
1990-01-08,2.2,19.4,23.8,15.8
1990-01-09,52.7,19.1,23.2,15.4
1990-01-10,28.3,18.6,19.6,14.6
1990-01-11,9.3,19.4,22.6,15.2
1990-01-12,4.3,19.3,23,13.8
1990-01-13,0.9,17.1,22.8,15.4
1990-01-14,0.2,17.3,24.2,16.6
1990-01-15,11.1,18.1,20.4,17
1990-01-16,23.3,19,20.6,15.4
1990-01-17,3.6,17.5,21.4,15
1990-01-18,10,17.2,21.4,16
1990-01-19,31.9,NA,23.8,16.2
1990-01-20,34.7,NA,20.2,15.4
1990-01-21,19.3,NA,22.2,15
1990-01-22,NA,NA,24.6,15.8
1990-01-23,NA,NA,24.2,15.2
1990-01-24,NA,NA,20.8,15.6
1990-01-25,NA,NA,22.4,16.8
1990-01-26,NA,NA,NA,NA
1990-01-27,NA,NA,NA,NA
1990-01-28,NA,NA,NA,NA
1990-01-29,NA,NA,NA,NA
1990-01-30,NA,NA,NA,NA
1990-01-31,NA,NA,NA,NA
1990-02-01,19.1,18.4,20,16.6
1990-02-02,78,18.2,23.8,16.4
1990-02-03,3,20,22,15.8
1990-02-04,23.1,19.5,24.2,15.2
1990-02-05,91.7,19,20.4,16.8
1990-02-06,50.3,17.4,20.5,15.4
1990-02-07,7.6,18.9,23.4,16
1990-02-08,49.2,19.2,23.4,17.2
1990-02-09,6.7,19,22.8,16.8
1990-02-10,0,16.7,22.2,16.4
1990-02-11,0.2,NA,20.1,16.1
1990-02-12,19.3,NA,20.9,15.8
1990-02-13,11.5,NA,22.6,16.4
1990-02-14,13.1,NA,22.8,14.8
1990-02-15,NA,NA,21.4,16.2
1990-02-16,NA,NA,22,16
1990-02-17,NA,NA,21.4,15.6
1990-02-18,NA,NA,20,15.6
1990-02-19,NA,NA,22.4,NA
1990-02-20,NA,NA,18.6,NA
1990-02-21,NA,NA,22.1,NA
1990-02-22,NA,NA,21.8,NA
1990-02-23,NA,NA,21.8,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,NA,NA,NA,NA
1990-02-27,NA,NA,NA,NA
1990-02-28,NA,NA,NA,NA
1990-03-01,67.1,15.9,21.6,15.2
