date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1990-01-01,0,24.3,27.8,21.5
1990-01-02,0,24.1,27.4,21.7
1990-01-03,0,24.1,27.6,21.8
1990-01-04,0,24.1,27.3,21.8
1990-01-05,0,24.1,27.2,22
1990-01-06,0,24,27.4,21.8
1990-01-07,0,24.3,27.5,22
1990-01-08,0,23.9,27.1,21.9
1990-01-09,0,24.4,27.5,22
1990-01-10,0,24.1,27.7,21.2
1990-01-11,0,24.1,27.7,21.5
1990-01-12,0,23.9,27.3,22
1990-01-13,0,24.1,27.1,22.3
1990-01-14,0,24.4,26.6,22
1990-01-15,0,24.7,28,22
1990-01-16,0,24.5,27.6,22.4
1990-01-17,1.2,25,28,23.2
1990-01-18,0.3,24.4,27,22.4
1990-01-19,0,25.2,28.6,22.8
1990-01-20,0,25.3,29.2,23.4
1990-01-21,0,25.2,28.8,23.2
1990-01-22,0,25.1,28.6,23.6
1990-01-23,2.4,25.3,28,24.2
1990-01-24,0,25.7,29.3,21
1990-01-25,0,26,29.5,24.9
1990-01-26,0.0,26.6,29.8,23.9
1990-01-27,0.0,26.2,28.7,24.7
1990-01-28,0.2,26.5,29.4,24.3
1990-01-29,0.0,26.2,29.5,24.5
1990-01-30,0.0,26.2,29.6,24.0
1990-01-31,0.0,27.0,30.0,25.1
1990-02-01,17.1,26.4,29.1,24.5
1990-02-02,5.7,25.7,27.4,24
1990-02-03,1.2,26,28.3,24
1990-02-04,0.8,27,30.7,24
1990-02-05,0,25.9,30.1,23.9
1990-02-06,0.4,25.9,29.1,24.1
1990-02-07,0.7,25.9,29.2,23.8
1990-02-08,8.9,25.7,27.7,24.4
1990-02-09,0,27.1,30.6,24
1990-02-10,0,27.2,31.5,23.9
1990-02-11,0,26.7,30.3,23.2
1990-02-12,0,26.6,30,23
1990-02-13,0,27.2,30.6,24.1
1990-02-14,0,27.4,31,25
1990-02-15,6,26.8,30.5,23.4
1990-02-16,0,26.2,30.6,23.2
1990-02-17,0,27,30.4,23.3
1990-02-18,0.5,26.7,30.5,23.2
1990-02-19,6.3,25.6,28.9,24
1990-02-20,0.2,26.2,31.3,23.2
1990-02-21,0.1,25.3,30,21.9
1990-02-22,0,26.6,31.6,22.3
1990-02-23,0,28.5,31.8,25.4
1990-02-24,4.1,26.3,29.5,25.4
1990-02-25,121.2,24.9,27.2,25.3
1990-02-26,18.7,24.3,25.6,22.4
1990-02-27,0.0,27.3,31.8,23.5
1990-02-28,0.0,26.0,29.7,21.7
1990-03-01,0,26,30.5,21.2
1990-03-02,0,25.8,29.9,21.5
1990-03-03,0,26.2,30.8,22.9
1990-03-04,0,24.6,29.9,20.8
1990-03-05,0,25.2,30.3,22
1990-03-06,0,26,30.2,23.3
1990-03-07,0,26.9,30.1,23.8
1990-03-08,0,26.8,32.6,24.7
1990-03-09,0,28.2,30.9,23.8
1990-03-10,0,27.3,30.8,25.3
1990-03-11,0,27.3,28.7,23.5
1990-03-12,0,26.3,32.5,25.2
1990-03-13,0.5,28.3,30.1,24.8
1990-03-14,0,27.1,29,24.8
1990-03-15,13.7,26.4,29.7,23.8
1990-03-16,0,26.3,30.7,23.2
1990-03-17,0,27,27.1,24.2
1990-03-18,24.9,24.8,29.5,23
1990-03-19,0,26.2,30.8,22.8
1990-03-20,0,25.7,29.3,22
1990-03-21,0,25.7,30.8,23.5
1990-03-22,0,26.9,30.3,23
1990-03-23,0,26.3,30.6,23.8
1990-03-24,0,26.6,31,23.3
1990-03-25,0,26.7,30.4,22.8
1990-03-26,0.0,26.4,28.9,23.4
1990-03-27,0.0,26.1,29.1,21.8
1990-03-28,0.0,25.2,29.1,22.2
1990-03-29,0.0,26.0,31.3,21.9
1990-03-30,0.0,25.8,28.5,24.0
1990-03-31,11.3,25.8,NA,NA
1990-04-01,0.2,25.3,28.1,22.4
