date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1990-05-01,0,NA,NA,NA
1990-05-02,0,NA,NA,NA
1990-05-03,0,NA,NA,NA
1990-05-04,0,NA,NA,NA
1990-05-05,0,NA,NA,NA
1990-05-06,0,NA,NA,NA
1990-05-07,0,NA,NA,NA
1990-05-08,0,NA,NA,NA
1990-05-09,0,NA,NA,NA
1990-05-10,0,NA,NA,NA
1990-05-11,0,NA,NA,NA
1990-05-12,0,NA,NA,NA
1990-05-13,0,NA,NA,NA
1990-05-14,0,NA,NA,NA
1990-05-15,0,NA,NA,NA
1990-05-16,0,NA,NA,NA
1990-05-17,0,NA,NA,NA
1990-05-18,0,NA,NA,NA
1990-05-19,0,NA,NA,NA
1990-05-20,0,NA,NA,NA
1990-05-21,0,NA,NA,NA
1990-05-22,0,NA,NA,NA
1990-05-23,0,NA,NA,NA
1990-05-24,0,NA,NA,NA
1990-05-25,0,NA,NA,NA
1990-05-26,0.0,NA,NA,NA
1990-05-27,0.0,NA,NA,NA
1990-05-28,0.0,NA,NA,NA
1990-05-29,0.0,NA,NA,NA
1990-05-30,0.0,NA,NA,NA
1990-05-31,NA,NA,NA,NA
1990-07-01,0.2,22.9,25.4,21.2
1990-07-02,0,23.2,25.3,22
1990-07-03,0,23.3,25.7,21.7
1990-07-04,0,23.2,26.4,21
1990-07-05,0,22.6,26.1,20.2
1990-07-06,0,23.5,26.3,21.2
1990-07-07,0.2,23.3,26.2,20.8
1990-07-08,0.8,22.2,26,20.2
1990-07-09,0.1,22,26,19.5
1990-07-10,0,21.9,25.1,19.5
1990-07-11,0,23.2,25.9,21
1990-07-12,1,23.6,26.8,21.1
1990-07-13,0.1,23.6,26.7,21.6
1990-07-14,0,23.5,25.9,21.8
1990-07-15,0,23.1,26.1,21.4
1990-07-16,0.1,22.9,25.7,20.1
1990-07-17,0.7,22.9,25.7,20.1
1990-07-18,0.9,21.6,25.6,19.8
1990-07-19,1.8,22,25.1,20
1990-07-20,0.4,21.6,25,20
1990-07-21,0.4,21.1,23.7,19.2
1990-07-22,0.2,20.9,24.4,18.9
1990-07-23,0,21.3,24.1,19.2
1990-07-24,0.1,21.4,24.6,18.8
1990-07-25,0,21.5,25.1,18.7
1990-07-26,0.0,21.8,26.1,18.9
1990-07-27,0.0,21.6,25.2,19.6
1990-07-28,0.0,20.7,24.2,18.6
1990-07-29,0.0,21.5,25.0,18.2
1990-07-30,0.0,21.8,24.9,20.0
1990-07-31,0.0,22.8,26.0,20.5
1990-08-01,0.2,21.8,25.1,19.7
1990-08-02,0.6,21.9,24.7,20
1990-08-03,0,22.4,25.1,20
1990-08-04,0,22.7,25.3,21.2
1990-08-05,0.2,22.3,24.8,20.5
1990-08-06,0.3,21.6,24.7,19
1990-08-07,0.1,21.1,24.1,19.5
1990-08-08,0,21.7,24.8,20
1990-08-09,0,21.6,25.1,19.1
1990-08-10,0.4,21.2,24.7,19
1990-08-11,0.9,21.7,25,19.1
1990-08-12,0.6,21.3,23.6,19
1990-08-13,0.6,21.5,25,18.4
1990-08-14,0,21.9,24.3,19.2
1990-08-15,0,21.7,25,19
1990-08-16,1.2,21.6,25.4,19.6
1990-08-17,0.4,21.4,24.6,19
1990-08-18,0,21.1,24.2,19.2
1990-08-19,0,20.9,23.4,18.4
1990-08-20,0,21.7,24.8,19
1990-08-21,0.3,21.3,24.2,18.9
1990-08-22,0,21.7,25.4,19
1990-08-23,0,20.9,24.5,19.8
1990-08-24,0,20.2,24.2,18
1990-08-25,0.1,21.1,23.9,18.9
1990-08-26,0.0,21.5,25.4,18.9
1990-08-27,0.0,21.5,24.6,19.6
1990-08-28,0.0,21.8,25.2,20.0
1990-08-29,0.0,22.2,25.4,20.2
1990-08-30,0.0,22.3,24.9,20.4
1990-08-31,0.0,22.4,26.0,19.9
1990-10-01,0.2,21.3,23.7,19.6
1990-10-02,0.3,21.7,25,19.4
1990-10-03,0,21.4,25,18.8
1990-10-04,0.5,21.6,25,19.8
1990-10-05,0,21.2,25,18.2
1990-10-06,0.2,21.1,25,18.2
1990-10-07,0,21.3,24.6,19.6
1990-10-08,0,21.2,24.7,18
1990-10-09,0,21.5,24.5,19.2
1990-10-10,0,21.5,24.7,19.6
1990-10-11,0,20.9,23.8,19
1990-10-12,0,21,23.5,19.5
1990-10-13,0,20.6,24.2,19
1990-10-14,0,21.7,24.8,19.4
1990-10-15,0,21.6,25.1,19.1
1990-10-16,0.3,21.8,24.8,19.3
1990-10-17,0.8,21.7,25.5,19.5
1990-10-18,0.2,21.7,25.2,18.8
1990-10-19,0.2,21.4,25.5,18.8
1990-10-20,0.2,21.8,25.3,19.6
1990-10-21,0.5,21.2,25,19.1
1990-10-22,0.1,21.7,25.2,19.2
1990-10-23,0,21.4,25,19.1
1990-10-24,0,21.9,25.2,20.4
1990-10-25,0,21.6,24.4,19.8
1990-10-26,0.1,21.3,25.1,19.0
1990-10-27,0.3,21.5,25.3,19.4
1990-10-28,0.2,21.5,24.9,18.0
1990-10-29,0.0,21.5,24.7,19.8
1990-10-30,1.1,22.2,24.8,20.2
1990-10-31,0.2,21.6,24.8,19.2
1991-01-01,0,24.7,28,22.8
1991-01-02,0,24.5,27.6,22.4
1991-01-03,0,24.8,28.4,21.6
1991-01-04,0,24.2,27.4,21.3
1991-01-05,0,24.5,28,22
1991-01-06,0,24.5,28.2,21.8
1991-01-07,0,23.8,27.1,21
1991-01-08,0,24.6,27.1,20.8
1991-01-09,0,24.7,28.2,21.8
1991-01-10,0,24.9,28.6,22.2
1991-01-11,0,25.1,28.1,22.4
1991-01-12,0,24.9,28.4,22.5
1991-01-13,0,24.3,27,22.7
1991-01-14,0,24.4,27.8,22.1
1991-01-15,0,24.5,28.1,22.2
1991-01-16,0,24.9,28.4,21.8
1991-01-17,0,24.2,27.8,20.5
1991-01-18,0,24.6,28.1,22
1991-01-19,0,25,27.9,23
1991-01-20,1.5,25.5,28.5,23.4
1991-01-21,0,25.5,28.8,22
1991-01-22,0,25.9,29.6,22.4
1991-01-23,0,25.9,29.6,22.8
1991-01-24,0.5,25.4,28.1,22.9
1991-01-25,0,25.1,29,23.5
1991-01-26,1.1,25.9,29.7,23.3
1991-01-27,7.6,25.9,29.5,23.2
1991-01-28,0.9,26.1,29.1,23.3
1991-01-29,3.0,26.6,29.8,24.0
1991-01-30,0.0,26.2,29.8,23.2
1991-01-31,0.0,26.6,30.2,23.6
1991-03-01,0.1,27.4,30,24.2
1991-03-02,0,27.3,30.5,24
1991-03-03,81.1,24.9,27.4,24
1991-03-04,5.9,27,29.6,23.8
1991-03-05,3.8,27.1,30.2,24.3
1991-03-06,3.8,27.1,30.2,24.2
1991-03-07,4,27.1,29.8,24.4
1991-03-08,21.3,24.6,25.8,23.7
1991-03-09,0,27.6,30.8,23.3
1991-03-10,0,27,30.6,23.8
1991-03-11,0,27.8,31.6,24.2
1991-03-12,0,27,31.7,22
1991-03-13,0,27.3,30.2,23.7
1991-03-14,0,26.3,30.6,22
1991-03-15,0,27.1,30.9,23.2
1991-03-16,5.2,27,30.1,24.2
1991-03-17,1.1,26.2,30,24
1991-03-18,17.1,24.5,25.8,23.6
1991-03-19,55.5,24.8,27.1,22
1991-03-20,4.8,26.2,29.2,23.7
1991-03-21,0,26.9,31.2,23.2
1991-03-22,0,26.7,30.9,23.2
1991-03-23,0,27.3,30.7,23
1991-03-24,1.6,26.7,30.3,23.6
1991-03-25,0,26.7,30.8,23.1
1991-03-26,17.5,26.5,31.5,22.8
1991-03-27,0.0,26.8,30.5,23.0
1991-03-28,0.0,26.4,30.6,21.4
1991-03-29,0.0,26.3,30.8,21.5
1991-03-30,0.0,26.1,30.0,21.2
1991-03-31,0.0,26.3,31.0,22.4
1991-05-01,0,25,29.3,21.2
1991-05-02,0,25.8,29.1,23.6
1991-05-03,0,26.3,30,22
1991-05-04,0,26.1,30.1,22.8
1991-05-05,0,26.3,30.1,22
1991-05-06,0,26.1,29.5,22.8
1991-05-07,0,25.6,29.2,21.7
1991-05-08,0,26.3,30,22.8
1991-05-09,0,26.7,30.8,23.4
1991-05-10,0,26.7,30.6,23.2
1991-05-11,0,26.7,31,23.4
1991-05-12,0,26.3,30,23.4
1991-05-13,0,26.1,29.9,23.5
1991-05-14,0,26.3,29.7,23.8
1991-05-15,0,26.3,29.4,23.6
1991-05-16,0,25.9,28.8,23.1
1991-05-17,0,26.3,30,23.6
1991-05-18,0,26.1,30.1,22.9
1991-05-19,0,25.6,29.3,22
1991-05-20,0,25.7,30.2,22.3
1991-05-21,0,25.5,29.9,20.6
1991-05-22,0,26.3,30,23
1991-05-23,0,25.5,28.5,22.7
1991-05-24,0,26.2,29.6,22.7
1991-05-25,0,25.9,29.5,23.2
1991-05-26,0.0,25.6,29.7,22.5
1991-05-27,0.0,25.3,28.8,23.0
