date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
2010-01-01,0,26,NA,20.4
2010-01-02,0,25.6,NA,19.8
2010-01-03,0,26.2,NA,20.4
2010-01-04,0,25.3,NA,21.6
2010-01-05,0,25.7,NA,21
2010-01-06,0,25.8,NA,20.1
2010-01-07,0,26.1,NA,22.2
2010-01-08,4.3,27.3,NA,22
2010-01-09,0,26.3,NA,23
2010-01-10,0,26.2,NA,20
2010-01-11,4.2,25.9,NA,22.8
2010-01-12,0,26.1,NA,20.8
2010-01-13,0,25.7,NA,20.4
2010-01-14,0,24.7,NA,20.8
2010-01-15,0,25,NA,20.4
2010-01-16,3.7,25.9,NA,22.4
2010-01-17,5.5,25.5,NA,21.6
2010-01-18,0,27.3,NA,20.8
2010-01-19,0,25.7,NA,20.4
2010-01-20,0,25.4,NA,21.4
2010-01-21,30.1,26.7,NA,21.8
2010-01-22,0,25.4,NA,21
2010-01-23,0,25.9,NA,21.2
2010-01-24,0,24.9,NA,20.8
2010-01-25,11.2,24.9,NA,22
2010-01-26,0.0,26.1,NA,21.2
2010-01-27,0.0,26.5,NA,21.2
2010-01-28,0.0,26.5,NA,21.8
2010-01-29,0.0,27.0,NA,22.2
2010-01-30,13.5,25.3,NA,20.3
2010-01-31,0.0,NA,NA,21.4
2010-02-01,32.1,24.9,NA,22.6
2010-02-02,6.5,26.1,NA,21
2010-02-03,1.2,25.6,NA,22
2010-02-04,0,27,NA,22.8
2010-02-05,0,25.9,NA,22
2010-02-06,6.9,25.8,NA,22.2
2010-02-07,30.4,23.1,NA,20.8
2010-02-08,0,24.9,NA,20
2010-02-09,10.6,25.3,NA,20.6
2010-02-10,0,25.9,NA,21.6
2010-02-11,3.4,24.2,NA,20.2
2010-02-12,5.8,25.7,NA,21.8
2010-02-13,0.8,25.9,NA,21.4
2010-02-14,6.4,26.9,NA,20.6
2010-02-15,0,27.5,NA,22.2
2010-02-16,0,26.1,NA,21.2
2010-02-17,0,27.7,NA,22.4
2010-02-18,7.8,26,NA,21.6
2010-02-19,0,26.1,NA,22
2010-02-20,43,25.5,NA,23.8
2010-02-21,0,26.3,NA,22.6
2010-02-22,2.8,27.3,NA,22
2010-02-23,2.1,24.3,NA,23
2010-02-24,18.5,25.9,NA,20.2
2010-02-25,22.6,26,NA,20
2010-02-26,26.2,22.9,NA,21.2
2010-02-27,0.0,26.9,NA,21.4
2010-02-28,0.0,26.1,NA,21.6
2010-03-01,18.7,25.6,NA,21.2
2010-03-02,5.8,24.5,NA,21.8
2010-03-03,0,25.2,NA,21.6
2010-03-04,0,26.7,NA,20
2010-03-05,6.5,24.3,NA,22.2
2010-03-06,0,26.9,NA,21.8
2010-03-07,1.4,26.9,NA,22
2010-03-08,0,27.3,NA,22.4
2010-03-09,0,24.7,NA,21.4
2010-03-10,77.5,25.5,NA,22.4
2010-03-11,0,25.8,NA,20.8
2010-03-12,0,26.7,NA,20.6
2010-03-13,0,26.7,NA,21.4
2010-03-14,0,26.7,NA,21.8
2010-03-15,0,29,NA,20.6
2010-03-16,0,25.5,NA,20.6
2010-03-17,27.4,23.6,NA,22
2010-03-18,9.2,25.5,NA,21
2010-03-19,54.2,24.9,NA,20.8
2010-03-20,1.6,25.2,NA,20.2
2010-03-21,0,26.7,NA,22.8
2010-03-22,0,26.7,NA,19.2
2010-03-23,0,27.1,NA,22.4
2010-03-24,0,27.6,NA,21.6
2010-03-25,28.4,26.3,NA,19.2
2010-03-26,49.2,22.8,NA,22.0
2010-03-27,0.0,23.9,NA,20.8
2010-03-28,0.0,27.6,NA,21.8
2010-03-29,0.0,27.1,NA,22.0
2010-03-30,0.0,25.6,NA,22.6
2010-03-31,31.5,23.5,NA,21.0
2010-04-01,0,26.1,33,20.8
2010-04-02,21.2,27,33.6,21.4
2010-04-03,41.4,25.4,29.5,23.2
2010-04-04,0,25.8,30.9,22
2010-04-05,17.8,26.5,32.5,23.2
2010-04-06,0,25.3,30,22.2
2010-04-07,0,26.1,30.2,22.8
2010-04-08,0,25.3,30,22.6
2010-04-09,20.9,25.4,29.9,22.2
2010-04-10,0,25.1,30,21.6
2010-04-11,2.1,24,27.7,22.4
2010-04-12,52.2,25.5,30,21.6
2010-04-13,7.9,24.4,29.9,22.4
2010-04-14,56.8,26.7,31.6,21.6
2010-04-15,0,24.9,31.8,21.2
2010-04-16,21.2,24.9,31.3,21.4
2010-04-17,0,26.1,31.6,21.2
2010-04-18,0,26,32.5,21
2010-04-19,54.2,23.9,30.5,21.4
2010-04-20,0,25.9,32,20.4
2010-04-21,0,27.3,33.9,22.2
2010-04-22,8.8,24.7,29.3,22.2
2010-04-23,33.2,26.1,35,21
2010-04-24,0,25.9,30,21.8
2010-04-25,0,26,30.1,22.6
2010-04-26,0.0,26.3,31.6,22.8
2010-04-27,0.0,26.1,29.8,23.0
2010-04-28,39.3,27.6,33.8,23.4
2010-04-29,0.0,26.4,31.0,22.0
2010-04-30,5.8,24.5,28.9,23.0
2010-05-01,14.1,24.5,26,21.8
2010-05-02,0,25.7,31.1,20.6
2010-05-03,0,23.9,29.2,22.4
2010-05-04,44.3,24.7,27.5,21.8
2010-05-05,0,23.9,28.3,21.2
2010-05-06,0,24.4,30.1,20
2010-05-07,19,24.9,30.9,21.4
2010-05-08,0,24.7,28.4,22
2010-05-09,8.1,26.5,30.9,23.2
2010-05-10,5.8,25,28.1,23.2
2010-05-11,0,21.4,24.9,19.4
2010-05-12,0,21.8,24.9,19.6
2010-05-13,0,23.5,28.7,19.6
2010-05-14,6,25.9,29.9,20
2010-05-15,0,25,32.4,20.2
2010-05-16,11,26.4,28.4,20.4
2010-05-17,0,26.4,30.8,23.4
2010-05-18,0,25.4,30.1,21.6
2010-05-19,0,25.3,30.4,20.6
2010-05-20,16.2,26.2,31.7,22.8
2010-05-21,0,26.7,31.5,20.2
2010-05-22,24.7,26.1,30.4,23.2
2010-05-23,0,27.1,31.5,22.8
2010-05-24,0,26.5,30.2,22.2
2010-05-25,64.7,25.7,26.1,22.8
2010-05-26,7.4,24.1,30.0,21.2
2010-05-27,0.0,24.9,30.0,22.2
2010-05-28,6.0,25.5,26.6,21.8
2010-05-29,0.0,25.1,28.1,20.6
2010-05-30,3.8,25.5,NA,20.6
2010-05-31,2.8,NA,NA,22.2
2010-06-01,47.9,25.9,31.2,23
2010-06-02,23.7,21.7,27.5,19.6
2010-06-03,0,20.9,28.9,19.8
2010-06-04,0,22.8,29.5,19
2010-06-05,75.4,23.4,29.9,20.8
2010-06-06,0,24.8,29.5,21.2
2010-06-07,9.3,24.8,29.9,21.4
2010-06-08,23.3,24.6,29.5,21.2
2010-06-09,9.8,24.1,29.9,21
2010-06-10,0,24.6,29.6,21.2
2010-06-11,44.3,25,29.6,22.2
2010-06-12,2.6,23.4,29.5,21.2
2010-06-13,0,23.8,28.6,21.8
2010-06-14,0,24.2,29.7,21.4
2010-06-15,11.8,26.4,28.5,22
2010-06-16,9.5,24.4,30.2,21.8
2010-06-17,0,24.7,30.1,21.4
2010-06-18,0,24.1,30,21.4
2010-06-19,0,24.9,32,21.2
2010-06-20,17.5,25.3,31.8,21
2010-06-21,0,24.9,31.5,21.4
2010-06-22,0,25.3,29.3,20.8
2010-06-23,0,25.1,31.4,20.8
2010-06-24,0,26.3,30.5,21
2010-06-25,8.7,24.8,NA,19.6
2010-06-26,4.9,24.6,NA,21.8
2010-06-27,58.3,24.6,NA,20.6
2010-06-28,30.9,23.7,NA,20.2
2010-06-29,0.0,23.3,NA,20.6
2010-06-30,9.0,25.5,NA,21.0
2010-07-01,26.1,22.7,28.7,21.2
2010-07-02,0,23.9,29.5,19.8
2010-07-03,0,24.9,29.5,21.2
2010-07-04,41.3,24.1,30.4,20.8
2010-07-05,0,24.8,30.5,20.2
2010-07-06,3,27,30.6,20
2010-07-07,0,25.4,30.1,20.2
2010-07-08,0,24.6,31.2,21.2
2010-07-09,0,23.2,30.2,21.2
2010-07-10,0,24.7,30.5,20.4
2010-07-11,0,25.1,30.5,22
2010-07-12,0,25,31.2,19.2
2010-07-13,55.3,25.2,31.3,20.6
2010-07-14,2.6,24.5,31.5,20.9
2010-07-15,23.8,25.1,30.5,19.8
2010-07-16,65.7,22.8,27,21
2010-07-17,18.3,22.3,30,21.6
2010-07-18,3.2,20.5,31.5,18.4
2010-07-19,1.2,22,27.1,18.2
2010-07-20,0,21.8,28.8,18.8
2010-07-21,0,22.8,30,20.4
2010-07-22,0,23.9,30.2,20.4
2010-07-23,0,24.9,32.1,19
2010-07-24,84.7,23.3,31,20.8
2010-07-25,3,24.8,31.8,20.6
2010-07-26,21.7,23.7,NA,21.0
2010-07-27,0.0,25.6,NA,20.4
2010-07-28,0.0,25.1,NA,20.1
2010-07-29,0.0,25.1,NA,20.8
2010-07-30,0.0,25.1,NA,21.0
2010-07-31,0.0,25.7,NA,19.6
2010-08-01,46.5,25.6,32.6,20.6
2010-08-02,62.3,23.9,28.5,21
2010-08-03,0,25.1,28.4,20.6
2010-08-04,10.5,24.3,29.2,20.8
2010-08-05,0,24.7,29.5,20.8
2010-08-06,0,22.3,29.4,18.8
2010-08-07,0,23.3,29.9,19.8
2010-08-08,0,25.4,31.4,19.4
2010-08-09,21.9,25.7,32,21.6
2010-08-10,0,24.7,31.1,20.2
2010-08-11,0,24.7,28.7,21.2
2010-08-12,0,24.4,29,20.4
2010-08-13,3.3,24.3,26.6,20.4
2010-08-14,0.3,22.6,27.3,20.4
2010-08-15,0,24.3,31.5,20.4
2010-08-16,0,24.6,30.6,19.6
2010-08-17,0,24.4,31.3,19.8
2010-08-18,0,26.4,30.3,18.8
2010-08-19,0,26.1,32.1,20.6
2010-08-20,4.3,25.1,32,19.8
2010-08-21,0,22.1,31.2,19.6
2010-08-22,0,25.2,32.8,19.2
2010-08-23,0,25.5,30.2,20.2
2010-08-24,0,26.3,30.7,21.2
2010-08-25,8.5,23.8,30.3,21.4
2010-08-26,0.0,25.5,33.6,21.6
2010-08-27,0.0,24.7,32.6,20.8
2010-08-28,0.0,26.9,34.9,21.4
2010-08-29,0.0,25.8,30.7,20.0
2010-08-30,0.0,27.1,NA,20.0
2010-08-31,0.0,26.5,NA,21.2
2010-09-01,110.8,27.1,35,20.6
2010-09-02,6.2,23.9,34.9,20.4
2010-09-03,0,26.7,34,20.4
2010-09-04,0,26,34.2,20.6
2010-09-05,63.6,24.3,30.5,20.2
2010-09-06,0,24.2,30.2,20
2010-09-07,3.9,24.4,31.5,20.8
2010-09-08,0,25.5,31.8,20
2010-09-09,0,24.9,30.8,20.6
2010-09-10,0,25.9,32.5,20.4
2010-09-11,0,26.2,32.4,19.2
