date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1990-01-01,0,22.4,28,17
1990-01-02,0,22.7,29,16.5
1990-01-03,0,22.6,28,16
1990-01-04,0,22.7,27.5,17
1990-01-05,0,22.9,29,17.5
1990-01-06,0,20.6,26,15.5
1990-01-07,11,21.4,24.5,17
1990-01-08,5.5,20.9,25,17.5
1990-01-09,4,21.1,26,16.5
1990-01-10,0,21.9,26.5,16
1990-01-11,0,21.8,27,17.5
1990-01-12,0,22.2,28,17
1990-01-13,20,19.8,27,17.5
1990-01-14,44.5,19.9,22,17
1990-01-15,34.5,22,21.5,16.5
1990-01-16,0,21.6,28,15.5
1990-01-17,2.5,21.3,27,17.4
1990-01-18,5.5,21.6,25,17.5
1990-01-19,35,20.4,26.5,16.5
1990-01-20,18,20.7,23,17
1990-01-21,11.5,21.1,23.5,16.5
1990-01-22,19,21.7,25,16
1990-01-23,8.5,22.4,25,17
1990-01-24,2,20.8,27.5,17.5
1990-01-25,16,19.7,23,17.5
1990-01-26,43.0,21.0,22.0,16.5
1990-01-27,0.0,22.4,25.0,16.5
1990-01-28,0.0,20.5,28.0,17.0
1990-01-29,26.0,20.5,23.5,17.5
1990-01-30,11.0,21.2,23.0,17.5
1990-01-31,8.0,NA,25.5,17.4
1990-02-01,32.5,20,21,17.6
1990-02-02,40,21.9,28,17.2
1990-02-03,15,22,26,17.5
1990-02-04,90,22.2,27.5,17
1990-02-05,16,22.4,27,17.5
1990-02-06,25,20.5,23,17.6
1990-02-07,98,22.7,30,16.5
1990-02-08,39.5,22,27,17.5
1990-02-09,23.5,21.5,25,17.6
1990-02-10,7,22.6,29,16
1990-02-11,0,21.8,25,18
1990-02-12,15.5,20.6,23,18
1990-02-13,15,21.1,24.5,17
1990-02-14,16,21.5,25,17.5
1990-02-15,3,21.7,28,16.5
1990-02-16,24.5,20.9,25,17.5
1990-02-17,0,22.5,29.5,14.5
1990-02-18,0,22.3,26.5,17.5
1990-02-19,0,21.4,25.5,17.5
1990-02-20,21.5,21.7,24.5,16.5
1990-02-21,13.5,21,26,17
1990-02-22,52.5,19.9,28,15
1990-02-23,6.5,21.7,24,17
1990-02-24,0,21.7,26,16.5
1990-02-25,0,20.5,25,17.5
1990-02-26,0.0,20.6,22.5,17.0
1990-02-27,4.0,NA,28.0,13.5
1990-02-28,0.0,NA,NA,NA
1990-03-01,3.5,22.5,29.5,15
1990-03-02,56.5,20.2,22.5,17.2
1990-03-03,0,19.5,21.5,16
1990-03-04,0,21.3,27,16.5
1990-03-05,0,22.1,27.5,16.5
1990-03-06,9.5,22.2,26,17.5
1990-03-07,42,21.1,24,17
1990-03-08,22.5,21.6,26,17.5
1990-03-09,15,21,25,17.8
1990-03-10,41.5,20.3,23,17
1990-03-11,8.5,19.9,23,17
1990-03-12,4.5,21.1,23.5,17.5
1990-03-13,13,21.4,24.5,17.5
1990-03-14,36,21,25,17
1990-03-15,0,22.3,27,17.5
1990-03-16,12,20.9,24,16.5
1990-03-17,0,22.2,28,17.5
1990-03-18,20,22.3,27,16.5
1990-03-19,0,20.6,24,17
1990-03-20,18,22.6,28,17.6
1990-03-21,30,20.8,24,17.5
1990-03-22,9.5,23.1,29,17.8
1990-03-23,12,23.2,29,17
1990-03-24,50,21.3,24,17.5
1990-03-25,40,22.3,27,17
1990-03-26,0.0,23.4,29.5,18.0
1990-03-27,0.0,23.5,29.5,17.6
1990-03-28,18.0,22.4,27.5,16.5
1990-03-29,0.0,21.8,27.0,17.5
1990-03-30,0.0,22.4,27.5,NA
1990-03-31,12.0,NA,NA,NA
1990-04-01,6,21.9,25.5,17.5
1990-04-02,0,22.3,28.5,15.5
1990-04-03,0,22.8,29,16.6
1990-04-04,0,22.7,30,14.5
1990-04-05,79.5,22.9,29,17.5
1990-04-06,18,20.8,25,17
1990-04-07,0,21.8,26.2,17.5
1990-04-08,0,22.7,28,17
1990-04-09,6,22.6,28.5,17
1990-04-10,21.5,22.6,28.2,17.5
1990-04-11,4.5,22.4,27,17.6
1990-04-12,0,21.1,23.5,18
1990-04-13,0,22.3,27.5,17
1990-04-14,6,21.7,26,17.5
1990-04-15,0,22.7,29,17.5
1990-04-16,50,23.2,29,16.5
1990-04-17,64,22.1,28,17.5
1990-04-18,79,22.7,29,17.5
