date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1996-04-01,10.2,15.1,19.5,9
1996-04-02,14,14.7,19.5,13
1996-04-03,1.4,14.9,21,11
1996-04-04,15.8,14.3,21,9.5
1996-04-05,17.4,13.3,21,9
1996-04-06,4.2,15.5,20.2,8
1996-04-07,26.2,14.3,22.5,7.5
1996-04-08,13.5,14.5,21.2,7
1996-04-09,3.7,14.5,21,8.5
1996-04-10,15.6,14.5,21.2,8.5
1996-04-11,0.6,14.1,21.2,10
1996-04-12,0.3,14.3,21.2,10
1996-04-13,0.4,15,19,12
1996-04-14,17.2,14.7,20.5,9
1996-04-15,3,15.7,19.5,7
1996-04-16,6.8,14.5,20.5,10
1996-04-17,4,14.9,16.5,12
1996-04-18,12.7,13.5,16.5,12
1996-04-19,2.4,13.3,19.5,11.5
1996-04-20,4.2,13.4,19.5,12
1996-04-21,4.1,13.3,17.7,12
1996-04-22,6.8,14.1,20,9.5
1996-04-23,3.8,13.4,20,11.5
1996-04-24,5.5,14.2,19,11.5
1996-04-25,18.5,14.9,18.5,9
1996-04-26,22.3,14.0,NA,10.0
1996-04-27,19.8,14.6,NA,7.0
1996-04-28,24.5,15.3,NA,12.5
1996-04-29,29.4,14.9,NA,12.5
1996-04-30,79.1,13.7,NA,NA
1996-05-01,22.8,13.7,15.5,12.5
1996-05-02,4.4,14.1,17,11
1996-05-03,14.4,15.5,20,10
1996-05-04,14.9,14.5,18,12.5
1996-05-05,5,13.9,17,9
1996-05-06,0.2,14.3,18,9.5
1996-05-07,12.4,15.2,20,11
1996-05-08,29.6,15.2,19,8.5
1996-05-09,17.3,15.6,19.5,9.5
1996-05-10,5.4,14.3,18.5,13
1996-05-11,1.9,14.6,18.5,10
1996-05-12,18.3,15.1,19.5,4.5
1996-05-13,3.6,15.3,18.5,11.5
1996-05-14,6.8,14,16.5,12.5
1996-05-15,0,14.4,19.5,10
1996-05-16,0,14.5,19.5,10
1996-05-17,21.6,14.2,20,9
1996-05-18,31.9,14.3,20,11
1996-05-19,26,14.7,20,11.5
1996-05-20,12,14.5,18.5,12
1996-05-21,26,13,20,5.5
1996-05-22,11.6,14.2,19.5,8.5
1996-05-23,1.5,13.1,17,8
1996-05-24,8,13.6,19,10.5
1996-05-25,5.3,13.6,19.2,6.5
1996-05-26,3.2,12.3,16.2,9.0
1996-05-27,22.4,14.5,18.5,10.5
1996-05-28,20.5,14.7,19.0,11.0
1996-05-29,5.1,14.5,19.3,11.5
1996-05-30,1.8,13.7,19.2,10.5
1996-05-31,10.8,NA,19.3,11.4
1996-06-01,4.8,13.6,19.1,10.5
1996-06-02,34.5,14.3,19.3,10.6
1996-06-03,6.1,12.8,19.1,10.5
1996-06-04,21,12.5,17,9.5
1996-06-05,0.6,12.2,16.5,10
1996-06-06,0,13.2,24,9.5
1996-06-07,2.8,13.5,20.5,9.5
1996-06-08,6.2,13.4,20.5,8.5
1996-06-09,14.7,12.5,20,11
1996-06-10,0.1,12.5,20,9.5
1996-06-11,0,12.7,16,7.3
1996-06-12,39,14.4,19.5,10.5
1996-06-13,9.5,14.1,16.5,12
1996-06-14,1,14.1,17.5,11.5
1996-06-15,12.4,14.1,17.5,13
1996-06-16,16.3,15.1,18.5,12.5
1996-06-17,1.8,15,18.5,11
1996-06-18,0,14.4,19.2,4
1996-06-19,9.6,13.8,19.2,8.2
1996-06-20,8.3,13.2,19.3,11
1996-06-21,13.9,14.1,19.3,11
1996-06-22,25.6,13.7,19.2,11.5
1996-06-23,44.4,14.6,19.4,12.5
1996-06-24,9.3,13.7,19.3,12
1996-06-25,0.3,15.1,20,11
1996-06-26,3.5,14.0,18.6,10.0
1996-06-27,1.7,14.8,21.0,12.0
