date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
2008-01-01,15.2,23.7,28,21.2
2008-01-02,0,22.9,28.6,18.2
2008-01-03,0.4,23.7,29.4,19.2
2008-01-04,2.2,24.3,29.8,19.8
2008-01-05,27.7,21.8,23.4,20.4
2008-01-06,3.6,21.5,23.8,19.8
2008-01-07,3.6,21.7,29,19.6
2008-01-08,0,23.6,29.6,18.2
2008-01-09,3.8,24.7,30.8,18.2
2008-01-10,0.9,25.3,31.2,20.2
2008-01-11,5.1,24.9,30,21
2008-01-12,9.2,22.7,29.4,20.6
2008-01-13,33.9,23.1,27,20.4
2008-01-14,27.5,21.9,25.8,20.4
2008-01-15,5.5,22.2,24.2,19.6
2008-01-16,9.1,22.4,25,19.8
2008-01-17,0.4,23.7,29.4,18
2008-01-18,0,23.5,26.8,18.8
2008-01-19,0.2,24.1,29.6,20
2008-01-20,5.4,24.4,29.8,19.8
2008-01-21,7.4,23.7,27,20
2008-01-22,4.5,24.8,29,20.6
2008-01-23,58.6,23.9,28.6,20.4
2008-01-24,21,22.6,27.2,20
2008-01-25,0.2,24.5,30.2,16.4
2008-01-26,0.5,25.5,30.4,19.0
2008-01-27,3.5,24.5,30.4,19.2
2008-01-28,20.4,24.1,29.4,21.2
2008-01-29,18.3,23.4,28.8,20.6
2008-01-30,4.3,22.3,24.6,20.4
2008-01-31,0.0,23.7,28.0,19.9
2008-02-01,3.2,24.7,31.8,18.6
2008-02-02,68.2,25.9,30.4,19
2008-02-03,71.5,24.1,28.8,20.8
2008-02-04,4.9,21.8,24,20
2008-02-05,0.1,23.8,30.4,18.2
2008-02-06,1.6,23.7,29.4,19.4
2008-02-07,0,25.1,31.2,19
2008-02-08,9.3,23.4,26,20.6
2008-02-09,3.6,22.1,25,19
2008-02-10,0.6,24.1,29.4,18.8
2008-02-11,18.1,22.9,29.8,18.4
2008-02-12,14.2,22.6,27.6,19.8
2008-02-13,36.3,22.3,25.8,20
2008-02-14,0.8,23.3,26,20.4
2008-02-15,0,22.8,26.6,19.6
2008-02-16,2.6,24.4,30.6,19.4
2008-02-17,6,23.6,26,20.2
2008-02-18,0.9,21.9,26.6,20.4
2008-02-19,13.6,23.7,28.2,19.2
2008-02-20,7.2,22.3,28.8,20
2008-02-21,51.5,23.2,25.8,19.4
2008-02-22,10.6,22.6,29.8,19.6
2008-02-23,6.9,23.7,30.2,19.8
2008-02-24,17.7,24.1,27,18.6
2008-02-25,0.1,22.8,25.2,20
2008-02-26,1.7,22.1,27.8,20.2
2008-02-27,0.2,22.7,28.2,18.8
2008-02-28,2.4,22.3,29.6,19.6
2008-02-29,0.0,23.3,NA,18.2
2008-03-01,12.6,24.5,29.8,17.6
2008-03-02,0,24.7,28.8,20.8
2008-03-03,22.6,23.7,29.8,17.8
2008-03-04,0.1,23.2,27.6,19
2008-03-05,36.5,24,30.2,19
2008-03-06,1.3,24.6,30.6,19.8
2008-03-07,5.3,23.7,30.2,18.6
