date,Total.Prec,Mean.Temp,Max.Temp,Min.Temp
1990-01-01,0,23.7,30,19
1990-01-02,0,24.5,31,19.8
1990-01-03,7.2,25.1,32.4,17
1990-01-04,0,23.6,28.8,20
1990-01-05,0.3,23.5,27.2,19.4
1990-01-06,0,25.4,31.8,19.3
1990-01-07,0,25,30.4,20
1990-01-08,15.5,24.6,30.4,19.6
1990-01-09,5.3,23.5,28.8,19.5
1990-01-10,0.5,24.5,29,19.7
1990-01-11,0.2,24.5,29.8,20
1990-01-12,4.4,24.9,31,20
1990-01-13,0,23.3,28,20
1990-01-14,0.6,23.9,28.9,19.6
1990-01-15,24,20.3,24.4,17.8
1990-01-16,2.5,24.3,29.4,18.8
1990-01-17,11.5,22,27.4,19
1990-01-18,13,22.9,29,19.4
1990-01-19,1.6,23.6,29.6,20.2
1990-01-20,19.2,21.8,25,19.4
1990-01-21,6.8,23.1,24.4,18.4
1990-01-22,2.4,23.6,28.2,19.4
1990-01-23,7,23.9,28.4,19.6
1990-01-24,0.6,23.6,29.2,19.8
1990-01-25,40.2,23.9,27.8,19.8
1990-01-26,5.2,22.6,28.8,19.6
1990-01-27,12.4,23.3,27.4,18.4
1990-01-28,0.0,22.3,27.6,18.4
1990-01-29,3.2,23.0,26.4,19.0
1990-01-30,19.8,21.8,26.8,18.8
1990-01-31,12.6,NA,25.4,20.4
1990-02-01,5.1,21.5,23.4,19.4
1990-02-02,0,22.7,26.4,17.6
1990-02-03,38.4,20.9,24.4,18.4
1990-02-04,0,23.7,30,18
1990-02-05,0,23.7,29,18.6
1990-02-06,41.2,23.8,29.4,19
1990-02-07,0,24.7,30.8,19
1990-02-08,3.2,24.3,29.4,20.4
1990-02-09,0.8,24.8,32.4,18.8
1990-02-10,0,24.3,33,18.8
1990-02-11,2.2,24.1,31.6,20
1990-02-12,22,24.8,30.8,20
1990-02-13,11.6,22.1,25.2,19
1990-02-14,1.5,23.3,27.9,19.2
1990-02-15,8,24.3,30.2,19.4
1990-02-16,1.8,23.3,28.4,19
1990-02-17,1,23.9,31,18.4
1990-02-18,0.8,24.5,33.4,17.8
1990-02-19,25,24.6,32,17
1990-02-20,0,24.2,30.4,17.4
1990-02-21,0,24.9,31.4,18.6
1990-02-22,0,24.2,29,19
1990-02-23,0,25.2,30.8,19.6
1990-02-24,0,25.1,31,19.6
1990-02-25,0,24.9,31,15.4
1990-02-26,0.0,24.3,32.0,16.0
1990-02-27,0.0,21.9,26.6,17.8
1990-02-28,0.0,25.3,32.0,NA
1990-03-01,0,25.2,32.8,17.4
1990-03-02,0,25.4,32,17
1990-03-03,17,22.1,26.4,16
1990-03-04,13,22.5,26.8,18.8
1990-03-05,0,23.7,28.4,18.8
1990-03-06,11.5,23.4,28.4,18.4
1990-03-07,10.4,22.8,27.8,18.2
1990-03-08,0,23.2,28,17.8
1990-03-09,30.4,22.4,27.2,17
1990-03-10,23.4,21.5,23,18.6
1990-03-11,4.2,21.3,23.4,18.4
