Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,46.6,15.4,9.7,22.5
1990-02-01,150.2,14.1,10.1,20.6
1990-03-01,79.7,15.3,10.1,21.6
1990-04-01,123.3,14.9,10.4,21.2
1990-05-01,19.7,15.2,10.4,20.9
1990-06-01,21.1,15.6,10.4,21.6
1990-07-01,15.4,14.6,8.8,21.7
1990-08-01,37.1,15.7,10.1,22.7
1990-09-01,27.8,15.6,9.5,23.1
1990-10-01,246.8,14.1,9.5,20.9
1990-11-01,39.9,15.2,9.5,21.9
1990-12-01,46.8,14.9,9.7,22.3
1991-01-01,96.7,14.8,9.8,21.5
1991-02-01,48.6,15.4,9.8,22.4
1991-03-01,232.9,14.6,10.1,21.1
1991-04-01,84,14.7,9.7,21
1991-05-01,104.9,15,10.4,20.9
1991-06-01,30,15.6,10.5,21.7
1991-07-01,16.1,15,9.8,21.2
1991-08-01,2.9,15,10,20.9
1991-09-01,69,15.3,10.1,22.2
1991-10-01,37.2,15,9.6,22.1
1991-11-01,134.9,14.2,9.6,20.9
1991-12-01,44.3,14.9,10,21.4
1992-01-01,51.3,15.5,9.9,22.6
1992-02-01,68.7,15.3,10.1,21.5
1992-03-01,105,15.6,10.3,21.9
1992-04-01,96.1,15.2,10.7,21
1992-05-01,127.6,15,10.8,20.6
1992-06-01,14.3,15.8,10.6,21.9
1992-07-01,17.9,15,9.9,21.3
1992-08-01,14.7,15.3,9.7,22.1
1992-09-01,109.9,14.8,9.6,21.7
1992-10-01,78.3,15.3,9.7,21.8
1992-11-01,107.4,14.5,9,21.4
1992-12-01,45.2,15,9.9,21.9
1993-01-01,111.4,14.4,9.5,20.6
1993-02-01,219.3,14.1,9.9,19.9
1993-03-01,235.2,13.9,9.7,19.6
1993-04-01,228.1,14.7,10,21
1993-05-01,94.6,14.6,10.2,20.5
1993-06-01,12.7,16,10.2,22.1
1993-07-01,8.2,15.1,9.1,21.5
1993-08-01,3.3,15.5,9.4,22.5
1993-09-01,96,14.8,8.8,22.1
1993-10-01,72,15.3,9.1,22
1993-11-01,128.5,14.3,9.2,20.7
1993-12-01,177,14.7,9.8,21.3
1994-01-01,193.4,14.1,9.6,20.1
1994-02-01,112.2,14.4,9.9,20.4
1994-03-01,244.4,14.2,9.6,20.3
1994-04-01,201.1,14.6,10,20.6
1994-05-01,103.2,15.1,10.1,21.1
1994-06-01,0.9,15.5,9.7,21.2
1994-07-01,2.9,15.3,9.6,21.6
1994-08-01,3.4,15.3,9,21.6
1994-09-01,27.9,16.1,9.7,23.2
1994-10-01,90.2,14.7,9.6,21.8
1994-11-01,186.8,14.2,9.8,20.6
1994-12-01,79.9,14.9,10.2,20.9
1995-01-01,14.9,15.1,10,21.5
1995-02-01,85.2,15.1,9.9,22.1
1995-03-01,118.7,14.7,10,21.3
1995-04-01,158.4,15.1,10.6,21.1
1995-05-01,NA,NA,NA,NA
1995-06-01,97.5,15.3,10,21.3
1995-07-01,42.5,14.8,9.5,21.5
1995-08-01,83.9,15.1,9.5,21.9
1995-09-01,5.7,15.5,9.6,22.3
1995-10-01,152.7,14.8,9.3,22.2
1995-11-01,232.4,14.1,9.4,21.4
1995-12-01,77.8,14,8.5,21.9
1996-01-01,146.5,13.6,9.4,19.4
1996-02-01,138.3,14,9.6,19.9
1996-03-01,181.8,13.9,9.5,20.3
1996-04-01,199.4,14.1,9.1,20.8
1996-05-01,189.4,14.5,9.2,21.2
1996-06-01,37.2,14.7,9.6,20.9
1996-07-01,29,14.4,8.7,21.5
1996-08-01,83.2,15.2,9.4,22.3
1996-09-01,84.5,15.3,9.3,22.7
1996-10-01,169.4,14.2,8.7,21.7
1996-11-01,14.4,14.6,7.7,22.6
1996-12-01,47.7,14.9,9.3,21.9
1997-01-01,140.9,14,9.6,20.4
1997-02-01,13.2,15,9.9,21.2
1997-03-01,167.7,14.8,10.2,21.1
1997-04-01,83.2,14.8,9.9,21
1997-05-01,65.9,15.5,10.8,21.5
1997-06-01,58.8,14.8,9.4,21
1997-07-01,0,16.1,11.2,22.4
1997-08-01,0,16.3,10.6,23.3
1997-09-01,108.6,15.7,9.4,23
1997-10-01,152.7,15.5,10.1,22.5
1997-11-01,219.2,14.5,10.4,20.2
1997-12-01,120.3,15.8,10.6,21.9
1998-01-01,58.1,16.7,11.7,23
1998-02-01,86.5,16.4,12,22.5
1998-03-01,127.5,16,11.5,22.3
1998-04-01,143.9,15.9,11.9,21.7
1998-05-01,193.9,15.7,11.6,21.3
1998-06-01,14.5,15.4,10.6,21.2
1998-07-01,32.2,14.9,9.7,21.1
1998-08-01,18.8,15.2,10.1,22.3
1998-09-01,58.8,15.2,9.6,22.3
1998-10-01,103.6,14.9,9.9,22.7
1998-11-01,138.6,14.6,10.6,21.4
1998-12-01,32.6,14.7,9.5,22
1999-01-01,81.6,14.1,10.3,20
1999-02-01,237.2,13.4,9.9,19.4
1999-03-01,185.3,14.1,9.8,20.7
1999-04-01,234.1,14.4,10.2,20.9
1999-05-01,70.1,14.2,9.7,20.2
1999-06-01,126.6,13.9,9.4,19.8
1999-07-01,25.1,14.8,9.5,21.3
1999-08-01,24.8,15.1,9.4,21.9
1999-09-01,136.3,14,9.5,20.2
1999-10-01,87.1,14.2,9.5,20.9
1999-11-01,101,14.6,10.4,21
1999-12-01,221.2,13.8,10.4,19.2
2000-01-01,177.3,13.6,9.7,19.2
2000-02-01,165.8,13.4,9.6,18.9
2000-03-01,149.5,13.9,10.1,19.4
2000-04-01,187.6,14.1,10.6,20
2000-05-01,123.8,14.1,10.5,19.9
2000-06-01,66.4,14.6,9.8,20.4
2000-07-01,22.1,14.6,8.9,21
2000-08-01,9.7,15.3,9.7,21.7
2000-09-01,67.3,14.2,8.8,21
2000-10-01,43.8,15.5,9.4,22.9
2000-11-01,16.7,14.6,8.4,22.1
2000-12-01,76.1,14.4,8.2,21.5
2001-01-01,84.1,13.8,8.4,20
2001-02-01,63.9,14.9,9.2,21
2001-03-01,186.4,14.2,8.9,19.8
2001-04-01,63.1,15.2,9,21.2
2001-05-01,88.8,15.1,8.8,21
2001-06-01,8.5,15.4,8.5,21.6
2001-07-01,35,15.2,7.7,22.2
2001-08-01,0,16.3,8.8,23
2001-09-01,94.6,14.8,8.9,22
2001-10-01,9.3,16.2,10,24
2001-11-01,113.6,15.1,9.7,21.6
2001-12-01,118.1,15.3,10.4,21.7
2002-01-01,36.6,15.1,9.7,22.1
2002-02-01,59.1,14.9,10.4,20.9
2002-03-01,123.1,15,10.6,20.9
