Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp",,,,
1990-01-01,242,NA,NA,NA,,,,
1990-02-01,457.9,NA,NA,NA,,,,
1990-03-01,262.3,NA,NA,NA,,,,
1990-04-01,282.5,NA,NA,NA,,,,
1990-05-01,118.8,NA,NA,NA,,,,
1990-06-01,82,NA,NA,NA,,,,
1990-07-01,5.6,NA,NA,NA,,,,
1990-08-01,0,NA,NA,NA,,,,
1990-09-01,2.7,NA,NA,NA,,,,
1990-10-01,23.7,NA,NA,NA,,,,
1990-11-01,9.5,NA,NA,NA,,,,
1990-12-01,251.5,NA,NA,NA,,,,
1991-01-01,250.1,24.3,18.2,28.4,,,,
1991-02-01,527.3,23.3,19.5,27.2,,,,
1991-03-01,551.2,24.6,20.3,29.3,,,,
1991-04-01,166.2,0,20.1,28.6,,,,
1991-05-01,91.6,0,20,28.3,,,,
1991-06-01,0,22.8,17.9,27.4,,,,
1991-07-01,0,22.2,18,26.8,,,,
1991-08-01,0,22.1,18.6,26.4,,,,
1991-09-01,0,22.6,18.5,28.1,,,,
1991-10-01,9.1,0,18.7,27.2,,,,
1991-11-01,NA,0,0,0,,,,
1991-12-01,339.4,0,20,27.4,,,,
1992-01-01,873.1,24.1,20.7,28.4,,,,
1992-02-01,678.5,24.1,NA,28.6,,,,
1992-03-01,990.2,25,NA,29.4,,,,
1992-04-01,567.3,25.4,NA,29.7,,,,
1992-05-01,523,25.5,NA,29.5,,,,
1992-06-01,90.7,24.1,NA,27.8,,,,
1992-07-01,31.9,22.9,NA,26.2,,,,
1992-08-01,6.9,22.9,NA,26.5,,,,
1992-09-01,4.2,22.6,NA,25.9,,,,
1992-10-01,4.9,22.9,NA,26.9,,,,
1992-11-01,33.1,23.3,NA,27.3,,,,
1992-12-01,38.1,23.7,NA,28.3,,,,
1993-01-01,488.1,24.1,NA,28.8,,,,
1993-02-01,725.2,24.1,20.9,27.7,,,,
1993-03-01,586.6,24.8,21.3,29.1,,,,
1993-04-01,355.6,25.1,21.4,29.1,,,,
1993-05-01,272.7,24.9,21.5,28.7,,,,
1993-06-01,21,23.7,20.1,27,,,,
1993-07-01,76.4,23.1,19.3,26.4,,,,
1993-08-01,10.4,22.5,18.2,26.4,,,,
1993-09-01,7.2,22.6,18.6,25.9,,,,
1993-10-01,6.9,22.9,18.8,27,,,,
1993-11-01,11.2,22.8,18.9,26.7,,,,
1993-12-01,336.4,24.1,19.9,28.2,,,,
1994-01-01,555,23.7,19.7,27.5,,,,
1994-02-01,492,23.8,19.9,27.8,,,,
1994-03-01,451.4,24.2,21.3,27.9,,,,
1994-04-01,496.1,24.4,21.2,28.6,,,,
1994-05-01,128.9,24.3,21.2,28.1,,,,
1994-06-01,25.7,22.6,19.7,25.4,,,,
1994-07-01,0,22.2,18.3,26,,,,
1994-08-01,0,21.7,18.2,25.8,,,,
1994-09-01,0,NA,NA,NA,,,,
1994-10-01,0,NA,NA,NA,,,,
1994-11-01,8.6,22.9,19.3,26.6,,,,
1994-12-01,303.1,24.3,20.2,28.4,,,,
1995-01-01,518.9,24.2,20.7,28,,,,
1995-02-01,413.6,24.4,20.6,28.3,,,,
1995-03-01,362.1,25.1,20.4,29.4,,,,
1995-04-01,303.1,24.7,20.2,28.9,,,,
1995-05-01,54.2,24.1,20,27.6,,,,
1995-06-01,7.4,23.7,19.5,27.5,,,,
1995-07-01,51.1,23,18.5,26.4,,,,
1995-08-01,22.3,22.9,18,27.5,,,,
1995-09-01,5.2,23.5,17.8,28.3,,,,
1995-10-01,25.4,23.2,18,27.1,,,,
1995-11-01,68.4,23.1,17.9,27,,,,
1995-12-01,48.3,24.7,18.1,29.7,,,,
1996-01-01,NA,NA,NA,NA,,,,
1996-02-01,NA,NA,NA,NA,,,,
1996-03-01,NA,NA,NA,NA,,,,
1996-04-01,NA,NA,NA,NA,,,,
1996-05-01,NA,NA,NA,NA,,,,
1996-06-01,NA,NA,NA,NA,,,,
1996-07-01,NA,NA,NA,NA,,,,
1996-08-01,NA,NA,NA,NA,,,,
1996-09-01,NA,NA,NA,NA,,,,
1996-10-01,NA,NA,NA,NA,,,,
1996-11-01,NA,NA,NA,NA,,,,
1996-12-01,NA,NA,NA,NA,,,,
1997-01-01,NA,NA,NA,NA,,,,
1997-02-01,NA,NA,NA,NA,,,,
1997-03-01,NA,NA,NA,NA,,,,
1997-04-01,NA,NA,NA,NA,,,,
1997-05-01,NA,NA,NA,NA,,,,
1997-06-01,NA,NA,NA,NA,,,,
1997-07-01,NA,NA,NA,NA,,,,
1997-08-01,NA,NA,NA,NA,,,,
1997-09-01,NA,NA,NA,NA,,,,
1997-10-01,NA,NA,NA,NA,,,,
1997-11-01,NA,NA,NA,NA,,,,
1997-12-01,NA,NA,NA,NA,,,,
1998-01-01,NA,NA,NA,NA,,,,
1998-02-01,NA,NA,NA,NA,,,,
1998-03-01,NA,NA,NA,NA,,,,
1998-04-01,NA,NA,NA,NA,,,,
1998-05-01,NA,NA,NA,NA,,,,
1998-06-01,NA,NA,NA,NA,,,,
1998-07-01,NA,NA,NA,NA,,,,
1998-08-01,NA,NA,NA,NA,,,,
1998-09-01,NA,NA,NA,NA,,,,
1998-10-01,NA,NA,NA,NA,,,,
1998-11-01,NA,NA,NA,NA,,,,
1998-12-01,NA,NA,NA,NA,,,,
1999-01-01,NA,NA,NA,NA,,,,
1999-02-01,NA,NA,NA,NA,,,,
1999-03-01,NA,NA,NA,NA,,,,
1999-04-01,NA,NA,NA,NA,,,,
1999-05-01,348.8,NA,NA,NA,,,,
1999-06-01,NA,NA,NA,NA,,,,
1999-07-01,NA,NA,NA,NA,,,,
1999-08-01,NA,NA,NA,NA,,,,
1999-09-01,NA,NA,NA,NA,,,,
1999-10-01,NA,NA,NA,NA,,,,
1999-11-01,NA,NA,NA,NA,,,,
1999-12-01,NA,NA,NA,NA,,,,
2000-01-01,NA,NA,NA,NA,,,,
2000-02-01,NA,NA,NA,NA,,,,
2000-03-01,NA,NA,NA,NA,,,,
2000-04-01,NA,NA,NA,NA,,,,
2000-05-01,NA,NA,NA,NA,,,,
2000-06-01,NA,NA,NA,NA,,,,
2000-07-01,NA,NA,NA,NA,,,,
