Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,NA,NA,NA
1990-02-01,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-05-01,66.3,NA,NA,NA
1990-06-01,35.2,NA,NA,NA
1990-07-01,16.2,NA,NA,NA
1990-08-01,23.2,NA,NA,NA
1990-09-01,23,NA,NA,NA
1990-10-01,147.6,NA,NA,NA
1990-11-01,57,NA,NA,NA
1990-12-01,58.7,NA,NA,NA
1991-01-01,35,12,5.4,16.7
1991-02-01,85,11.7,5.4,16.9
1991-03-01,102.7,12,5.1,16.2
1991-04-01,84.2,11.4,5.3,16.3
1991-05-01,98.5,11.6,5.3,15.9
1991-06-01,37.4,11.5,5.3,16.2
1991-07-01,58.4,10.8,4.9,15.3
1991-08-01,15,10.9,4.6,14.8
1991-09-01,9,11.3,4.5,14.9
1991-10-01,40.5,11.6,4.8,15.8
1991-11-01,91.3,11.6,NA,16.1
1991-12-01,54.7,11.8,NA,15.9
1992-01-01,26.2,NA,NA,NA
1992-02-01,59.5,NA,NA,NA
1992-03-01,49.8,NA,NA,NA
1992-04-01,74.6,NA,NA,NA
1992-05-01,59.7,NA,NA,NA
1992-06-01,11.7,NA,NA,NA
1992-07-01,25,NA,NA,NA
1992-08-01,14.8,NA,NA,NA
1992-09-01,96.2,NA,NA,NA
1992-10-01,87.4,NA,NA,NA
1992-11-01,37,NA,NA,NA
1992-12-01,63.1,NA,NA,NA
1993-01-01,80.6,11.6,6.5,16.5
1993-02-01,90.8,11.3,NA,16.4
1993-03-01,200.1,11.3,NA,NA
1993-04-01,130.4,11.5,NA,15.8
1993-05-01,80.7,11.6,NA,15.8
1993-06-01,18,11.3,NA,15.7
1993-07-01,29.4,11.2,5.9,14.8
1993-08-01,24,NA,NA,NA
1993-09-01,28.9,10.9,NA,NA
1993-10-01,65.4,11,6.7,16.1
1993-11-01,30.8,11.7,5.1,15.3
1993-12-01,126.6,11.6,5.5,16.3
1994-01-01,NA,NA,NA,NA
1994-02-01,NA,NA,NA,NA
1994-03-01,NA,NA,NA,NA
1994-04-01,NA,NA,NA,NA
1994-05-01,NA,NA,NA,NA
1994-06-01,NA,NA,NA,NA
1994-07-01,NA,NA,NA,NA
1994-08-01,NA,NA,NA,NA
1994-09-01,NA,NA,NA,NA
1994-10-01,NA,NA,NA,NA
1994-11-01,NA,NA,NA,NA
1994-12-01,NA,NA,NA,NA
1995-01-01,25.8,11.4,5.3,15.9
1995-02-01,72.1,11.3,5.5,16.1
