Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,9.3,5,14.4
1990-02-01,39.9,9.9,3.9,15.3
1990-03-01,70.8,9,3.9,13
1990-04-01,72.1,9.4,5.1,13.4
1990-05-01,58.2,8.6,4.8,12.7
1990-06-01,38.1,8.1,4.8,11.2
1990-07-01,15.2,7.7,3.5,12.1
1990-08-01,50.2,7.2,2.9,11
1990-09-01,21.5,8.2,3.4,13.1
1990-10-01,NA,NA,NA,NA
1990-11-01,39.7,10.3,4,15.8
1990-12-01,NA,10,3.4,16
1991-01-01,69.6,9.5,3.5,15.6
1991-02-01,15,9.8,3.8,15.1
1991-03-01,56.5,9.9,4.1,15.8
1991-04-01,41.2,9.4,3.1,14.7
1991-05-01,78.7,9.7,4.5,14.4
1991-06-01,84.5,9.4,3.8,13.9
1991-07-01,80.3,7.8,3.1,12
1991-08-01,59.5,7,2.6,10.4
1991-09-01,19.1,8.5,2.6,13.5
1991-10-01,39.9,9.3,2.5,13.7
1991-11-01,NA,NA,NA,NA
1991-12-01,38.6,10.5,3.6,15.6
1992-01-01,17.1,10.5,4.2,15.7
1992-02-01,36.6,10.1,4,15
1992-03-01,71.3,10.1,4.3,14.4
1992-04-01,55.8,9.7,3.5,14.6
1992-05-01,51.2,9.6,4.6,14.7
1992-06-01,67.6,9,4.2,13.5
1992-07-01,169.6,6.9,2.8,10.7
1992-08-01,39.4,8.3,3.2,12
1992-09-01,55.6,8.9,NA,13.8
1992-10-01,28.9,9.4,NA,14.6
1992-11-01,NA,NA,NA,NA
1992-12-01,NA,NA,NA,NA
1993-01-01,NA,NA,NA,NA
1993-02-01,NA,NA,NA,NA
1993-03-01,NA,NA,NA,NA
1993-04-01,NA,NA,NA,NA
1993-05-01,NA,NA,NA,NA
1993-06-01,NA,NA,NA,NA
1993-07-01,NA,NA,NA,NA
1993-08-01,NA,NA,NA,NA
1993-09-01,NA,NA,NA,NA
1993-10-01,NA,NA,NA,NA
1993-11-01,NA,NA,NA,NA
1993-12-01,NA,NA,NA,NA
1994-01-01,NA,NA,NA,NA
1994-02-01,NA,NA,NA,NA
1994-03-01,NA,NA,NA,NA
1994-04-01,NA,NA,NA,NA
1994-05-01,NA,NA,NA,NA
1994-06-01,NA,NA,NA,NA
1994-07-01,NA,NA,NA,NA
1994-08-01,NA,NA,NA,NA
1994-09-01,NA,NA,NA,NA
1994-10-01,NA,NA,NA,NA
1994-11-01,NA,NA,NA,NA
1994-12-01,NA,NA,NA,NA
1995-01-01,NA,NA,NA,NA
1995-02-01,NA,NA,NA,NA
1995-03-01,NA,NA,NA,NA
1995-04-01,NA,NA,NA,NA
1995-05-01,NA,NA,NA,NA
1995-06-01,NA,NA,NA,NA
1995-07-01,NA,NA,NA,NA
1995-08-01,NA,NA,NA,NA
1995-09-01,NA,NA,NA,NA
1995-10-01,NA,NA,NA,NA
1995-11-01,NA,NA,NA,NA
1995-12-01,NA,NA,NA,NA
1996-01-01,NA,NA,NA,NA
1996-02-01,NA,NA,NA,NA
1996-03-01,NA,NA,NA,NA
1996-04-01,NA,NA,NA,NA
1996-05-01,NA,NA,NA,NA
1996-06-01,NA,NA,NA,NA
1996-07-01,NA,NA,NA,NA
1996-08-01,NA,NA,NA,NA
1996-09-01,NA,NA,NA,NA
1996-10-01,NA,NA,NA,NA
1996-11-01,NA,NA,NA,NA
1996-12-01,NA,NA,NA,NA
1997-01-01,NA,NA,NA,NA
1997-02-01,238.4,8.6,NA,12
1997-03-01,230.1,NA,5.2,NA
1997-04-01,59.6,10.1,5.5,14.3
1997-05-01,28,NA,5.5,13.3
1997-06-01,14.1,NA,5.4,13.8
1997-07-01,43.2,8.5,5.2,13
1997-08-01,25.1,NA,5.4,12.9
1997-09-01,NA,NA,NA,NA
1997-10-01,NA,NA,NA,NA
1997-11-01,NA,NA,NA,NA
1997-12-01,NA,NA,NA,NA
1998-01-01,NA,NA,NA,NA
1998-02-01,NA,NA,NA,NA
1998-03-01,NA,NA,NA,NA
1998-04-01,NA,NA,NA,NA
1998-05-01,NA,NA,NA,NA
1998-06-01,NA,NA,NA,NA
1998-07-01,NA,NA,NA,NA
1998-08-01,NA,NA,NA,NA
1998-09-01,NA,NA,NA,NA
1998-10-01,NA,NA,NA,NA
1998-11-01,NA,NA,NA,NA
1998-12-01,NA,NA,NA,NA
1999-01-01,82,9.3,5.2,14.1
1999-02-01,49.1,8.9,5.6,11.9
1999-03-01,79,9.3,5,12.6
1999-04-01,135.4,8.9,4.7,12.2
1999-05-01,53.8,9.1,4.9,12.1
1999-06-01,47.3,9.2,NA,12.9
1999-07-01,33.4,8.8,4.9,11.2
1999-08-01,64,7.7,3.9,11.3
1999-09-01,76.6,8.6,4.1,12
1999-10-01,31.8,8.6,4.4,12.4
1999-11-01,47.2,9.8,4.4,14.8
1999-12-01,126.3,10,5.1,13.6
2000-01-01,36.7,9.9,5.2,NA
2000-02-01,78.8,9.3,5,13.1
2000-03-01,92.5,9.2,5,12.8
2000-04-01,92.6,9.4,5,12.7
2000-05-01,129.8,9.1,5.1,12.3
2000-06-01,NA,9.2,NA,NA
2000-07-01,NA,8.6,NA,NA
2000-08-01,52.9,8.2,4.7,NA
2000-09-01,57.6,9.2,4.5,12.3
2000-10-01,7.4,9.5,4.2,13.2
2000-11-01,2.2,9.5,4.9,13.5
2000-12-01,38.1,8.9,5.4,12.5
2001-01-01,68.8,9,4.9,12.3
2001-02-01,55,9.3,5.3,13.4
2001-03-01,19.9,9.3,NA,12.6
2001-04-01,11.8,9.5,NA,13.4
2001-05-01,18.6,9.1,5,11.6
2001-06-01,NA,NA,NA,NA
2001-07-01,55.8,8,4.6,11.9
2001-08-01,35,7.2,4.3,11.2
2001-09-01,29.1,8.8,4.8,13.3
2001-10-01,7.1,9.1,4.9,13.6
2001-11-01,6.8,8.9,4.6,13.8
2001-12-01,1.2,9.4,4.4,13.9
2002-01-01,2.2,9.5,4.5,13.8
2002-02-01,88.8,8.3,4.1,12.1
2002-03-01,57,9,4.1,13.1
2002-04-01,77.6,9.5,3.9,13.3
2002-05-01,64.5,9.3,4.2,12.7
2002-06-01,68.2,8.8,3.8,13
2002-07-01,72.6,8.7,4.5,12.2
2002-08-01,30.2,8.5,4.2,12.4
2002-09-01,15.8,8.9,4.3,13.7
2002-10-01,52.8,8.8,4.5,13.1
2002-11-01,87.6,8.9,4.8,13.6
2002-12-01,51.6,9.3,4.5,13.5
2003-01-01,26.2,9.5,5,14.1
2003-02-01,16.8,9.6,4.4,13
2003-03-01,87.6,9,4.6,12.1
2003-04-01,71.3,9.2,4.7,12.3
2003-05-01,72.6,9.2,5.6,12.1
2003-06-01,41,9.1,5.3,12.1
2003-07-01,24.7,8.4,4,11.1
2003-08-01,13,9,5.6,12.7
2003-09-01,57.2,9,5.2,12.9
2003-10-01,52.6,9,4.9,13.2
2003-11-01,36,9.1,5,13
2003-12-01,52.4,9.8,4.8,13.5
2004-01-01,24,9.9,3.9,15.5
2004-02-01,39.8,9.3,5,13.4
2004-03-01,54.7,10.6,4.8,14.3
2004-04-01,73.6,12,5.9,15.5
2004-05-01,115.4,10,5,13.2
2004-06-01,79,8.8,4.8,13.5
2004-07-01,76.8,9,4.3,13.1
2004-08-01,43.4,8.3,3.8,12.7
2004-09-01,35.6,8.9,4,13.1
2004-10-01,29.9,9.4,5.1,13.8
2004-11-01,32,9.8,4.2,14
2004-12-01,18,9.6,4.6,14.6
2005-01-01,53.3,9.7,4.1,15
2005-02-01,253.1,9.1,4.5,12.6
2005-03-01,151.8,9.6,5,12.8
2005-04-01,316.6,NA,NA,NA
2005-05-01,2.5,9.8,4.7,12.9
2005-06-01,0.5,9.3,5.3,12.5
2005-07-01,5,9.2,3.4,13.9
2005-08-01,0,9.2,3.9,13.4
2005-09-01,8,9.6,4,14.8
2005-10-01,0,9.8,5.2,14.5
2005-11-01,0.8,10.4,6.4,15.5
2005-12-01,35.3,NA,NA,NA
2006-01-01,77.8,9.5,4.8,13.7
2006-02-01,93.9,9.6,4.7,14.1
2006-03-01,89,9.1,5,13.2
2006-04-01,74.6,8.9,4.7,12.8
2006-05-01,45.7,9.3,5,13.1
2006-06-01,88.8,8.6,4.1,11.7
2006-07-01,27.2,8.8,3.8,12.7
2006-08-01,72.5,8.9,3.9,12.4
2006-09-01,31.8,9,3.5,13.3
2006-10-01,30.4,9.4,3.6,14.1
2006-11-01,NA,NA,4,NA
2006-12-01,95.8,9.2,4.5,13.5
2007-01-01,64.1,9.3,3.7,13.4
2007-02-01,25,9.5,3.5,15.2
2007-03-01,76.3,8.9,4.1,12.4
2007-04-01,119.3,9.2,4.8,13.2
2007-05-01,69.8,9.7,4.2,14.6
2007-06-01,320.2,8.3,3.6,11.3
2007-07-01,58.2,9.5,3.4,14.8
2007-08-01,71.8,9.2,3.6,14.2
2007-09-01,63.4,8.3,3.7,12
2007-10-01,50.6,9.6,3.8,14.9
2007-11-01,79.6,9.5,3.6,13.8
2007-12-01,60.1,9.4,4.1,14
2008-01-01,80.3,9.3,4.2,13.3
2008-02-01,77.6,9.3,3.9,14
2008-03-01,113,9.1,3.9,13.4
2008-04-01,78.8,9.2,3.6,13.7
2008-05-01,NA,NA,NA,NA
2008-06-01,82.3,8.9,3.9,13.2
2008-07-01,115.7,8,3.3,11.2
2008-08-01,109.1,8.6,3.4,12.3
2008-09-01,68.6,8.8,3.3,12.8
2008-10-01,83.9,9.8,4.1,15.3
2008-11-01,64.9,9.4,4.2,14
2008-12-01,82.1,9.2,4,13.7
2009-01-01,99.7,9,4.7,12.9
2009-02-01,39,9.2,4.6,13.3
2009-03-01,53.1,10.3,4.9,15.7
2009-04-01,71.8,9.7,3.9,14.7
2009-05-01,39.7,9.5,4,14.9
2009-06-01,109.4,9,4.5,13.2
2009-07-01,89.9,8.7,4,12.6
2009-08-01,32.5,8.6,4.8,12.3
2009-09-01,10.6,9.1,3.6,14
2009-10-01,55.9,10.2,4.6,15.2
2009-11-01,27.2,10.5,4.4,15.5
2009-12-01,30.1,10.7,4.8,15.8
2010-01-01,33.4,10.1,3.7,14.6
2010-02-01,96,10.1,4.9,14.2
2010-03-01,52,10.4,5.4,14.4
2010-04-01,54.2,10.7,5.1,15.5
2010-05-01,105.8,10.3,4.9,14.7
2010-06-01,92.5,9.3,4.3,12.6
2010-07-01,75.4,10.1,3.4,14.8
2010-08-01,61.6,8.8,3.8,12.4
2010-09-01,35.9,9.1,2.9,14.6
2010-10-01,18.8,10.2,3.6,16
2010-11-01,115.8,10.5,3.8,15.6
2010-12-01,75.9,9.8,4.6,14
2011-01-01,63.7,9.9,3.2,15.2
2011-02-01,107.7,9.6,3.6,13.8
2011-03-01,52.4,10,3.4,14.9
2011-04-01,112.3,9.5,5.1,12.9
2011-05-01,NA,NA,3.2,NA
2011-06-01,44.3,9.2,2.8,12.7
2011-07-01,122.9,NA,2.3,NA
2011-08-01,39.5,9,3.6,12.5
2011-09-01,76.6,8.6,3.4,12.5
2011-10-01,32.7,10.6,4.6,16.7
2011-11-01,56.5,10.2,3.4,15.4
2011-12-01,234.1,9.6,4.1,13.6
2012-01-01,101.2,9.9,4.4,14
2012-02-01,95.9,9.5,4.4,13.5
2012-03-01,43.9,9.6,4.1,13.7
2012-04-01,110.8,1.1,4.4,14.9
2012-05-01,62.1,9.4,4.1,13.8
2012-06-01,62.3,9.4,3.9,13.5
2012-07-01,76.4,8.9,3.4,12.8
2012-08-01,62.5,8.7,3,13
2012-09-01,42.3,NA,2.9,13.1
2012-10-01,54.9,9.9,3.8,13.5
2012-11-01,33.4,9.8,3.4,14
2012-12-01,44.1,9.8,3.4,14.3
2013-01-01,NA,10.2,3.6,15
2013-02-01,NA,10,4.3,14.2
2013-03-01,NA,10.3,4.2,15.5
2013-04-01,NA,10.1,3.6,15.2
2013-05-01,NA,9.8,3.4,14.1
2013-06-01,NA,NA,NA,NA
