Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,NA,NA,NA
1990-02-01,NA,NA,NA,NA
1990-03-01,36.4,15.4,NA,21.9
1990-04-01,58.2,14.8,NA,20.7
1990-05-01,32.1,14.9,NA,20.6
1990-06-01,19.4,15.1,NA,NA
1990-07-01,9.4,15,NA,20.8
1990-08-01,4.4,15.6,NA,21.5
1990-09-01,10.9,16.1,NA,23
1990-10-01,134.7,14.4,NA,20.6
1990-11-01,25.9,15.4,NA,22
1990-12-01,27.4,15.2,NA,22.1
1991-01-01,99.4,15.1,NA,20.7
1991-02-01,15.5,15.6,NA,22.5
1991-03-01,111.3,15.3,NA,21.6
1991-04-01,56.6,14.9,NA,20.8
1991-05-01,88.3,15.4,NA,21.1
1991-06-01,14.3,15.3,10.2,21.6
1991-07-01,18,15.1,9.9,21.2
1991-08-01,10.4,15,10.8,20.3
1991-09-01,46,15.3,10.5,21.6
1991-10-01,38.3,15.4,9.9,22.2
1991-11-01,82.7,14.6,10,20.4
1991-12-01,69.4,15.2,10.4,21.6
1992-01-01,27.7,15.7,10.4,22.5
1992-02-01,69.7,15.3,10.3,21.8
1992-03-01,46.5,15.8,10.8,22.2
1992-04-01,86.5,15.5,11.4,21
1992-05-01,51.7,14.8,10.6,20.5
1992-06-01,14.6,16.3,12,21.8
1992-07-01,5.7,15,10.7,20.5
1992-08-01,6.7,15.2,10.1,21.3
1992-09-01,39.4,14.7,10.2,21.4
1992-10-01,44.3,15.1,10.5,22.1
1992-11-01,41.5,14.9,9.7,22.1
1992-12-01,24.9,15.2,10.2,22.3
1993-01-01,35.3,14.3,9.8,21.2
1993-02-01,102.8,14.1,10,20.2
1993-03-01,108.6,14,10.3,19.5
1993-04-01,81.5,14.5,10.8,20.3
1993-05-01,59.8,14.7,10.7,20.2
1993-06-01,6.9,16.3,11.2,21.9
1993-07-01,8.7,15.3,10,21.2
1993-08-01,0.2,15.6,10.7,21.9
1993-09-01,29,15,10.4,22.3
1993-10-01,14.2,15.8,10.1,22.7
1993-11-01,93.5,14.8,10.4,21.3
1993-12-01,NA,NA,NA,NA
1994-01-01,199.3,14.4,9,20.4
1994-02-01,146.2,14.3,9.7,20.4
1994-03-01,216.3,14.1,9.1,20.1
1994-04-01,203,14.5,9.4,20.3
1994-05-01,65.9,15,9.2,21
1994-06-01,3,15.4,8.5,21.5
1994-07-01,2,15.4,8.7,21.2
1994-08-01,2.3,15.4,8.8,21.1
1994-09-01,NA,15.6,9,22.2
1994-10-01,NA,15,9,22
1994-11-01,NA,14.1,8.5,20.8
