Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,NA,NA,NA
1990-02-01,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-05-01,NA,NA,NA,NA
1990-06-01,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-08-01,NA,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-10-01,NA,NA,NA,NA
1990-11-01,NA,NA,NA,NA
1990-12-01,NA,NA,NA,NA
1991-01-01,207.6,26.4,21.4,30.8
1991-02-01,496.1,26.3,22.2,30.3
1991-03-01,336.2,26.8,22.5,31.1
1991-04-01,108.7,26.6,22.4,32.2
1991-05-01,68.2,26.3,21.7,31.9
1991-06-01,3.4,25,20.6,28.5
1991-07-01,5.2,23.8,20.2,27.4
1991-08-01,8.8,23.7,19.9,27.4
1991-09-01,6.7,23,19,26.9
1991-10-01,20.2,23.9,19.6,27.5
1991-11-01,30.6,24.4,20,28.2
1991-12-01,50.4,25.6,20.6,29.5
1992-01-01,199,26.1,21.8,29.6
1992-02-01,693.3,26,22,29.7
1992-03-01,730.8,26.8,22.6,30.7
1992-04-01,781.2,27,22.8,31.3
1992-05-01,630.5,26.3,22.6,31.7
1992-06-01,241.5,25.2,21.5,29.3
1992-07-01,13.7,24.1,20.6,27.6
1992-08-01,6.3,23.7,20.3,27.6
1992-09-01,9.7,23,20.1,26.4
1992-10-01,14.3,23.6,20.3,27.3
1992-11-01,24,23.7,20.6,27.3
1992-12-01,13.4,25.1,21.4,29
1993-01-01,322.8,25.5,22.1,29.6
1993-02-01,510,25.3,22,29.8
1993-03-01,621.8,26.2,22.6,31.1
1993-04-01,604.4,26.5,23.2,30.7
1993-05-01,358,26.3,23.2,30.2
1993-06-01,24,25.3,21.9,28.7
1993-07-01,27.3,24.5,21.1,28.3
1993-08-01,7.8,23.7,19.9,27.7
1993-09-01,11,23.6,20.1,27.2
1993-10-01,13.9,23.9,20.4,27.3
1993-11-01,16.3,24,20.9,27.8
1993-12-01,142.1,25.4,21.7,29.1
1994-01-01,365.5,25.3,22,28.6
1994-02-01,436.4,25.4,21.8,29
1994-03-01,280.6,25.5,21.7,29.3
1994-04-01,246.5,25.8,20.9,30.7
1994-05-01,66.7,25.3,21,29.5
1994-06-01,8.7,23.8,20.4,27.1
1994-07-01,5.1,23,19,26.9
1994-08-01,3.7,22.6,18.5,26.6
1994-09-01,5.3,23.8,19.1,28.5
1994-10-01,20.7,24.2,20.4,27.9
1994-11-01,16.1,23.9,20.4,27.3
