Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,NA,NA,NA
1990-02-01,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-05-01,NA,NA,NA,NA
1990-06-01,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-08-01,NA,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-10-01,NA,NA,NA,NA
1990-11-01,NA,NA,NA,NA
1990-12-01,NA,NA,NA,NA
1991-01-01,NA,NA,NA,NA
1991-02-01,NA,NA,NA,NA
1991-03-01,NA,NA,NA,NA
1991-04-01,NA,NA,NA,NA
1991-05-01,NA,NA,NA,NA
1991-06-01,NA,NA,NA,NA
1991-07-01,NA,NA,NA,NA
1991-08-01,NA,NA,NA,NA
1991-09-01,NA,NA,NA,NA
1991-10-01,NA,NA,NA,NA
1991-11-01,NA,NA,NA,NA
1991-12-01,NA,NA,NA,NA
1992-01-01,NA,NA,NA,NA
1992-02-01,286.9,26.7,23.2,31.1
1992-03-01,429.1,26.8,24,31.1
1992-04-01,535.8,27.5,24.3,32
1992-05-01,158,27.3,24,31.7
1992-06-01,37.8,26.3,22.6,30.5
1992-07-01,4.8,25.1,21,29.6
1992-08-01,0.6,24.7,20.4,29.7
1992-09-01,0,24.7,20.4,29.8
1992-10-01,0,25.4,21,30.4
1992-11-01,0,25.5,21.4,30.2
1992-12-01,7.8,26.8,22.4,31.9
1993-01-01,158.3,26.9,23.3,31.3
1993-02-01,525.1,26,23.2,30
1993-03-01,155.5,27.1,23.9,31.1
1993-04-01,332.1,27.4,24,31.6
1993-05-01,133.1,27.1,23.6,31.3
1993-06-01,0.3,26.3,22.6,30.5
1993-07-01,0,25.6,21.5,30.1
1993-08-01,0.1,25,20.4,30.3
1993-09-01,0,25.4,20.9,31
1993-10-01,0,25.7,21.1,31.1
1993-11-01,0,25.8,21.8,31
1993-12-01,86.2,27,22.7,32.1
1994-01-01,183.3,26.6,23.3,30.4
1994-02-01,137.8,26.7,23.6,30.8
1994-03-01,189,27.2,23.4,31.8
1994-04-01,119.5,26.8,23.2,31
1994-05-01,17.3,26.9,22.8,NA
1994-06-01,3.6,25.6,21.6,29.4
1994-07-01,0,24.1,19.8,29.1
1994-08-01,0,24.1,19.6,29.2
1994-09-01,0.2,24.8,19.8,30.9
1994-10-01,0,25.9,21.8,30.8
1994-11-01,0.6,25.9,22,30.7
1994-12-01,164,27.2,23,31.7
1995-01-01,121.7,27.1,23.7,31.2
1995-02-01,198.8,26.8,23.9,30.5
